case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq3,CuytLee,1,1000,217.441,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,1,1000,213.021,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,1,1000,331.691,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,2,1000,216.441,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,2,1000,216.171,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,2,1000,121.090,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,3,1000,118.701,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,3,1000,202.351,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,3,1000,211.390,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,4,1000,117.251,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,4,1000,226.731,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,4,1000,201.670,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,5,1000,211.320,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,5,1000,117.501,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,5,1000,221.321,28,0,1,3,1,2,3,0,0
paper_eq3,CuytLee,6,1000,201.201,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,6,1000,120.410,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,6,1000,208.781,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,7,1000,200.931,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,7,1000,223.091,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,7,1000,118.260,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,8,1000,209.451,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,8,1000,199.851,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,8,1000,119.590,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,9,1000,118.451,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,9,1000,212.071,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,9,1000,209.311,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,1,1000,205.771,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,1,1000,214.051,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,1,1000,119.180,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,2,1000,211.041,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,2,1000,226.541,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,2,1000,121.281,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,3,1000,218.620,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,3,1000,211.631,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,3,1000,214.200,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,4,1000,138.011,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,4,1000,215.991,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,4,1000,206.620,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,5,1000,220.532,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,5,1000,122.550,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,5,1000,230.701,28,1,1,3,1,2,3,0,0
firefly_shift,CuytLee,6,1000,204.101,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,6,1000,122.420,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,6,1000,213.421,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,7,1000,207.811,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,7,1000,230.081,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,7,1000,119.360,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,8,1000,212.881,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,8,1000,208.411,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,8,1000,121.571,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,9,1000,134.430,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,9,1000,211.211,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,9,1000,221.671,29,0,1,4,0,2,3,2,1
sparse3,CuytLee,1,1000,1547.296,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,1,1000,1585.986,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,1,1000,859.703,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,2,1000,1815.837,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,2,1000,1494.096,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,2,1000,808.973,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,3,1000,819.573,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,3,1000,1453.756,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,3,1000,1667.986,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,4,1000,855.023,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,4,1000,1537.996,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,4,1000,1484.726,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,5,1000,1547.596,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,5,1000,832.103,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,5,1000,1457.846,175,0,1,4,15,4,3,0,0
sparse3,CuytLee,6,1000,1458.165,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,6,1000,849.752,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,6,1000,1548.445,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,7,1000,1480.446,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,7,1000,1560.726,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,7,1000,832.294,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,8,1000,1552.086,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,8,1000,1477.656,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,8,1000,833.963,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,9,1000,832.563,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,9,1000,1441.235,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,9,1000,1564.206,186,0,1,6,0,4,3,6,1
sparse4,CuytLee,1,1000,947.233,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,1,1000,1138.724,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,1,1000,613.212,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,2,1000,1142.404,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,2,1000,965.063,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,2,1000,600.513,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippel,3,1000,606.882,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,3,1000,930.653,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,3,1000,1136.064,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,4,1000,614.782,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,4,1000,1128.375,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,4,1000,945.123,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,5,1000,1129.624,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,5,1000,605.682,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,5,1000,937.514,116,0,1,5,11,4,3,0,0
