case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq3,CuytLee,1,0,48.510,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,1,0,56.440,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,1,0,30.091,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,2,0,51.090,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,2,0,48.190,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,2,0,30.540,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,3,0,29.870,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,3,0,44.811,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,3,0,51.521,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,4,0,31.040,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,4,0,51.120,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,4,0,61.510,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,5,0,53.251,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,5,0,30.080,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,5,0,45.200,28,0,1,3,1,2,3,0,0
paper_eq3,CuytLee,6,0,42.880,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,6,0,31.350,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,6,0,51.069,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,7,0,45.950,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,7,0,53.630,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,7,0,30.220,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,8,0,51.451,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,8,0,44.581,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,8,0,30.760,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,9,0,32.310,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,9,0,44.770,28,0,1,3,1,2,3,0,0
