case,method,mode,seed,elapsed_us,probes
paper_eq3,CuytLee,ff,1,52.861,28
paper_eq3,BalancedZippelSeparated,ff,1,238.251,29
paper_eq3,BalancedZippel,ff,1,34.101,16
paper_eq3,BalancedZippelSeparated,ff,2,127.720,29
paper_eq3,CuytLee,ff,2,56.350,28
paper_eq3,BalancedZippel,ff,2,35.660,16
paper_eq3,BalancedZippel,ff,3,34.510,16
paper_eq3,CuytLee,ff,3,51.250,28
paper_eq3,BalancedZippelSeparated,ff,3,57.051,29
paper_eq3,BalancedZippel,ff,4,33.551,16
paper_eq3,BalancedZippelSeparated,ff,4,54.230,29
paper_eq3,CuytLee,ff,4,51.610,28
paper_eq3,BalancedZippelSeparated,ff,5,57.210,29
paper_eq3,BalancedZippel,ff,5,45.560,16
paper_eq3,CuytLee,ff,5,47.950,28
paper_eq3,CuytLee,ff,6,45.090,28
paper_eq3,BalancedZippel,ff,6,32.540,16
paper_eq3,BalancedZippelSeparated,ff,6,51.990,29
paper_eq3,CuytLee,ff,7,56.731,28
paper_eq3,BalancedZippelSeparated,ff,7,57.040,29
paper_eq3,BalancedZippel,ff,7,33.300,16
paper_eq3,BalancedZippelSeparated,ff,8,53.260,29
paper_eq3,CuytLee,ff,8,46.720,28
paper_eq3,BalancedZippel,ff,8,33.441,16
paper_eq3,BalancedZippel,ff,9,31.701,16
paper_eq3,CuytLee,ff,9,46.300,28
paper_eq3,BalancedZippelSeparated,ff,9,53.370,29
paper_eq28_y_d,CuytLee,ff,1,28986.730,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,1,1286.644,306
paper_eq28_y_d,BalancedZippel,ff,1,2411.369,509
paper_eq28_y_d,BalancedZippelSeparated,ff,2,1226.535,306
paper_eq28_y_d,CuytLee,ff,2,26481.520,1365
paper_eq28_y_d,BalancedZippel,ff,2,2510.239,509
paper_eq28_y_d,BalancedZippel,ff,3,2544.700,509
paper_eq28_y_d,CuytLee,ff,3,23840.960,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,3,1353.145,306
paper_eq28_y_d,BalancedZippel,ff,4,2652.070,509
paper_eq28_y_d,BalancedZippelSeparated,ff,4,1329.115,306
paper_eq28_y_d,CuytLee,ff,4,30650.336,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,5,1323.395,306
paper_eq28_y_d,BalancedZippel,ff,5,2611.090,509
paper_eq28_y_d,CuytLee,ff,5,30767.377,1365
paper_eq28_y_d,CuytLee,ff,6,29066.410,1365
paper_eq28_y_d,BalancedZippel,ff,6,2417.369,509
paper_eq28_y_d,BalancedZippelSeparated,ff,6,1226.304,306
paper_eq28_y_d,CuytLee,ff,7,27686.345,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,7,1331.275,306
paper_eq28_y_d,BalancedZippel,ff,7,2557.799,509
paper_eq28_y_d,BalancedZippelSeparated,ff,8,1322.345,306
paper_eq28_y_d,CuytLee,ff,8,27057.063,1365
paper_eq28_y_d,BalancedZippel,ff,8,2525.849,509
paper_eq28_y_d,BalancedZippel,ff,9,2624.860,509
paper_eq28_y_d,CuytLee,ff,9,28402.877,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,9,1347.996,306
