case,method,mode,seed,elapsed_us,probes
paper_eq3,CuytLee,q,1,96.691,31
paper_eq3,BalancedZippelSeparated,q,1,114.810,32
paper_eq3,BalancedZippel,q,1,80.061,19
paper_eq3,BalancedZippelSeparated,q,2,103.781,32
paper_eq3,CuytLee,q,2,101.780,31
paper_eq3,BalancedZippel,q,2,79.070,19
paper_eq3,BalancedZippel,q,3,80.380,19
paper_eq3,CuytLee,q,3,97.621,31
paper_eq3,BalancedZippelSeparated,q,3,127.910,32
paper_eq3,BalancedZippel,q,4,79.971,19
paper_eq3,BalancedZippelSeparated,q,4,100.411,32
paper_eq3,CuytLee,q,4,95.970,31
paper_eq3,BalancedZippelSeparated,q,5,104.041,32
paper_eq3,BalancedZippel,q,5,78.130,19
paper_eq3,CuytLee,q,5,91.770,31
paper_eq3,CuytLee,q,6,88.670,31
paper_eq3,BalancedZippel,q,6,72.710,19
paper_eq3,BalancedZippelSeparated,q,6,106.241,32
paper_eq3,CuytLee,q,7,91.480,31
paper_eq3,BalancedZippelSeparated,q,7,97.070,32
paper_eq3,BalancedZippel,q,7,72.361,19
paper_eq3,BalancedZippelSeparated,q,8,94.870,32
paper_eq3,CuytLee,q,8,89.410,31
paper_eq3,BalancedZippel,q,8,72.300,19
paper_eq3,BalancedZippel,q,9,72.180,19
paper_eq3,CuytLee,q,9,88.361,31
paper_eq3,BalancedZippelSeparated,q,9,94.570,32
paper_eq28_y_d,CuytLee,q,1,94836.169,4098
paper_eq28_y_d,BalancedZippelSeparated,q,1,5301.350,921
paper_eq28_y_d,BalancedZippel,q,1,9335.705,1530
paper_eq28_y_d,BalancedZippelSeparated,q,2,5694.861,921
paper_eq28_y_d,CuytLee,q,2,86339.616,4098
paper_eq28_y_d,BalancedZippel,q,2,9890.787,1530
paper_eq28_y_d,BalancedZippel,q,3,9664.716,1530
paper_eq28_y_d,CuytLee,q,3,79016.118,4098
paper_eq28_y_d,BalancedZippelSeparated,q,3,5838.413,921
paper_eq28_y_d,BalancedZippel,q,4,9657.406,1530
paper_eq28_y_d,BalancedZippelSeparated,q,4,5914.762,921
paper_eq28_y_d,CuytLee,q,4,96107.874,4098
paper_eq28_y_d,BalancedZippelSeparated,q,5,6106.503,921
paper_eq28_y_d,BalancedZippel,q,5,8974.824,1530
paper_eq28_y_d,CuytLee,q,5,85991.705,4098
paper_eq28_y_d,CuytLee,q,6,89850.830,4098
paper_eq28_y_d,BalancedZippel,q,6,9416.536,1530
paper_eq28_y_d,BalancedZippelSeparated,q,6,5675.452,921
paper_eq28_y_d,CuytLee,q,7,80727.075,4098
paper_eq28_y_d,BalancedZippelSeparated,q,7,6102.233,921
paper_eq28_y_d,BalancedZippel,q,7,10079.028,1530
paper_eq28_y_d,BalancedZippelSeparated,q,8,6157.643,921
paper_eq28_y_d,CuytLee,q,8,97913.640,4098
paper_eq28_y_d,BalancedZippel,q,8,9749.946,1530
paper_eq28_y_d,BalancedZippel,q,9,10198.758,1530
paper_eq28_y_d,CuytLee,q,9,89545.988,4098
paper_eq28_y_d,BalancedZippelSeparated,q,9,6011.363,921
