case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,CuytLee,1,95.651,31,2,1,0
paper_eq3,BalancedZippelSeparated,1,98.000,32,2,1,0
paper_eq3,BalancedZippel,1,72.121,19,2,1,0
paper_eq3,BalancedZippelSeparated,2,93.860,32,2,1,0
paper_eq3,CuytLee,2,102.801,31,2,1,0
paper_eq3,BalancedZippel,2,73.210,19,2,1,0
paper_eq3,BalancedZippel,3,71.240,19,2,1,0
paper_eq3,CuytLee,3,86.731,31,2,1,0
paper_eq3,BalancedZippelSeparated,3,108.851,32,2,1,0
paper_eq3,BalancedZippel,4,72.710,19,2,1,0
paper_eq3,BalancedZippelSeparated,4,93.181,32,2,1,0
paper_eq3,CuytLee,4,94.080,31,2,1,0
paper_eq3,BalancedZippelSeparated,5,111.600,32,2,1,0
paper_eq3,BalancedZippel,5,69.811,19,2,1,0
paper_eq3,CuytLee,5,87.450,31,2,1,0
paper_eq3,CuytLee,6,84.120,31,2,1,0
paper_eq3,BalancedZippel,6,72.160,19,2,1,0
paper_eq3,BalancedZippelSeparated,6,90.800,32,2,1,0
paper_eq3,CuytLee,7,85.610,31,2,1,0
paper_eq3,BalancedZippelSeparated,7,92.661,32,2,1,0
paper_eq3,BalancedZippel,7,68.450,19,2,1,0
paper_eq3,BalancedZippelSeparated,8,90.501,32,2,1,0
paper_eq3,CuytLee,8,86.481,31,2,1,0
paper_eq3,BalancedZippel,8,80.990,19,2,1,0
paper_eq3,BalancedZippel,9,69.710,19,2,1,0
paper_eq3,CuytLee,9,86.681,31,2,1,0
paper_eq3,BalancedZippelSeparated,9,91.500,32,2,1,0
paper_eq28_y_d,CuytLee,1,149193.414,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,1,20322.937,921,4,3,0
paper_eq28_y_d,BalancedZippel,1,33618.548,1530,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,2,20432.567,921,4,3,0
paper_eq28_y_d,CuytLee,2,142638.609,4098,4,3,0
paper_eq28_y_d,BalancedZippel,2,33680.327,1530,4,3,0
paper_eq28_y_d,BalancedZippel,3,34052.339,1530,4,3,0
paper_eq28_y_d,CuytLee,3,143163.791,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,3,20602.308,921,4,3,0
paper_eq28_y_d,BalancedZippel,4,34257.230,1530,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,4,20671.789,921,4,3,0
paper_eq28_y_d,CuytLee,4,148800.522,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,5,21568.481,921,4,3,0
paper_eq28_y_d,BalancedZippel,5,35765.065,1530,4,3,0
paper_eq28_y_d,CuytLee,5,157916.777,4098,4,3,0
paper_eq28_y_d,CuytLee,6,151873.774,4098,4,3,0
paper_eq28_y_d,BalancedZippel,6,34951.202,1530,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,6,21817.432,921,4,3,0
paper_eq28_y_d,CuytLee,7,150380.528,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,7,22140.324,921,4,3,0
paper_eq28_y_d,BalancedZippel,7,35178.853,1530,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,8,20631.269,921,4,3,0
paper_eq28_y_d,CuytLee,8,157533.626,4098,4,3,0
paper_eq28_y_d,BalancedZippel,8,35353.333,1530,4,3,0
paper_eq28_y_d,BalancedZippel,9,35549.524,1530,4,3,0
paper_eq28_y_d,CuytLee,9,159241.752,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,9,21531.261,921,4,3,0
