case,method,mode,seed,elapsed_us,probes
paper_eq3,BalancedZippelSeparated,q,1,59.261,32
paper_eq3,BalancedZippel,q,1,43.300,19
paper_eq3,CuytLeePruned,q,1,51.880,28
paper_eq3,CuytLee,q,1,54.300,31
paper_eq3,BalancedZippel,q,2,170.631,19
paper_eq3,CuytLeePruned,q,2,66.500,28
paper_eq3,BalancedZippelSeparated,q,2,63.640,32
paper_eq3,CuytLee,q,2,57.570,31
paper_eq3,CuytLeePruned,q,3,51.080,28
paper_eq3,BalancedZippel,q,3,43.810,19
paper_eq3,CuytLee,q,3,53.240,31
paper_eq3,BalancedZippelSeparated,q,3,58.020,32
paper_eq28_y_d,BalancedZippelSeparated,q,1,5034.356,829
paper_eq28_y_d,BalancedZippel,q,1,6406.981,1119
paper_eq28_y_d,CuytLeePruned,q,1,20686.057,2015
paper_eq28_y_d,CuytLee,q,1,38204.624,2947
paper_eq28_y_d,BalancedZippel,q,2,6359.600,1119
paper_eq28_y_d,CuytLeePruned,q,2,20791.407,2015
paper_eq28_y_d,BalancedZippelSeparated,q,2,5055.056,829
paper_eq28_y_d,CuytLee,q,2,38264.024,2947
paper_eq28_y_d,CuytLeePruned,q,3,20696.676,2015
paper_eq28_y_d,BalancedZippel,q,3,6380.691,1119
paper_eq28_y_d,CuytLee,q,3,38246.904,2947
paper_eq28_y_d,BalancedZippelSeparated,q,3,5007.246,829
