case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,BalancedZippelSeparated,1,97.391,32,2,1,0
paper_eq3,BalancedZippel,1,90.590,19,2,1,0
paper_eq3,CuytLeePruned,1,93.791,28,2,1,0
paper_eq3,CuytLee,1,97.590,31,2,1,0
paper_eq3,BalancedZippel,2,79.770,19,2,1,0
paper_eq3,CuytLeePruned,2,92.650,28,2,1,0
paper_eq3,BalancedZippelSeparated,2,100.750,32,2,1,0
paper_eq3,CuytLee,2,114.880,31,2,1,0
paper_eq3,CuytLeePruned,3,93.191,28,2,1,0
paper_eq3,BalancedZippel,3,77.611,19,2,1,0
paper_eq3,CuytLee,3,94.430,31,2,1,0
paper_eq3,BalancedZippelSeparated,3,96.450,32,2,1,0
paper_eq28_y_d,BalancedZippelSeparated,1,42115.623,2174,4,3,0
paper_eq28_y_d,BalancedZippel,1,47004.377,2464,4,3,0
paper_eq28_y_d,CuytLeePruned,1,72684.737,3360,4,3,0
paper_eq28_y_d,CuytLee,1,102068.165,4292,4,3,0
paper_eq28_y_d,BalancedZippel,2,46932.036,2464,4,3,0
paper_eq28_y_d,CuytLeePruned,2,72786.486,3360,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,2,42187.674,2174,4,3,0
paper_eq28_y_d,CuytLee,2,101849.105,4292,4,3,0
paper_eq28_y_d,CuytLeePruned,3,72706.266,3360,4,3,0
paper_eq28_y_d,BalancedZippel,3,47104.387,2464,4,3,0
paper_eq28_y_d,CuytLee,3,102102.576,4292,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,3,42169.664,2174,4,3,0
