case,method,seed,elapsed_us,probes,primes,images,support_resets,support_reuses,support_fallbacks
paper_eq3,BalancedZippelSeparated,1,60.850,32,2,1,0,0,0
paper_eq3,BalancedZippel,1,44.160,19,2,1,0,0,0
paper_eq3,CuytLeePruned,1,245.910,28,2,1,0,0,0
paper_eq3,CuytLee,1,66.041,31,2,1,0,0,0
paper_eq3,BalancedZippel,2,49.280,19,2,1,0,0,0
paper_eq3,CuytLeePruned,2,53.530,28,2,1,0,0,0
paper_eq3,BalancedZippelSeparated,2,60.630,32,2,1,0,0,0
paper_eq3,CuytLee,2,55.181,31,2,1,0,0,0
paper_eq3,CuytLeePruned,3,52.571,28,2,1,0,0,0
paper_eq3,BalancedZippel,3,47.140,19,2,1,0,0,0
paper_eq3,CuytLee,3,56.480,31,2,1,0,0,0
paper_eq3,BalancedZippelSeparated,3,59.700,32,2,1,0,0,0
paper_eq28_y_d,BalancedZippelSeparated,1,15501.320,829,4,3,0,1,1
paper_eq28_y_d,BalancedZippel,1,20582.616,1119,4,3,0,1,1
paper_eq28_y_d,CuytLeePruned,1,46163.399,2015,4,3,0,1,1
paper_eq28_y_d,CuytLee,1,75370.134,2947,4,3,0,1,1
paper_eq28_y_d,BalancedZippel,2,20522.767,1119,4,3,0,1,1
paper_eq28_y_d,CuytLeePruned,2,46283.130,2015,4,3,0,1,1
paper_eq28_y_d,BalancedZippelSeparated,2,15477.390,829,4,3,0,1,1
paper_eq28_y_d,CuytLee,2,75603.314,2947,4,3,0,1,1
paper_eq28_y_d,CuytLeePruned,3,46283.399,2015,4,3,0,1,1
paper_eq28_y_d,BalancedZippel,3,20487.506,1119,4,3,0,1,1
paper_eq28_y_d,CuytLee,3,75481.004,2947,4,3,0,1,1
paper_eq28_y_d,BalancedZippelSeparated,3,15506.990,829,4,3,0,1,1
