case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,BalancedZippelSeparated,1,60.900,32,2,1,0
paper_eq3,BalancedZippel,1,45.880,19,2,1,0
paper_eq3,CuytLeePruned,1,53.880,28,2,1,0
paper_eq3,CuytLee,1,56.000,31,2,1,0
paper_eq3,BalancedZippel,2,62.040,19,2,1,0
paper_eq3,CuytLeePruned,2,61.809,28,2,1,0
paper_eq3,BalancedZippelSeparated,2,61.171,32,2,1,0
paper_eq3,CuytLee,2,57.581,31,2,1,0
paper_eq3,CuytLeePruned,3,53.110,28,2,1,0
paper_eq3,BalancedZippel,3,45.340,19,2,1,0
paper_eq3,CuytLee,3,54.420,31,2,1,0
paper_eq3,BalancedZippelSeparated,3,60.570,32,2,1,0
paper_eq28_y_d,BalancedZippelSeparated,1,21421.752,952,4,3,0
paper_eq28_y_d,BalancedZippel,1,26549.866,1242,4,3,0
paper_eq28_y_d,CuytLeePruned,1,52511.662,2138,4,3,0
paper_eq28_y_d,CuytLee,1,88052.738,3070,4,3,0
paper_eq28_y_d,BalancedZippel,2,23487.144,1242,4,3,0
paper_eq28_y_d,CuytLeePruned,2,55590.225,2138,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,2,21693.051,952,4,3,0
paper_eq28_y_d,CuytLee,2,85368.945,3070,4,3,0
paper_eq28_y_d,CuytLeePruned,3,55511.115,2138,4,3,0
paper_eq28_y_d,BalancedZippel,3,23402.354,1242,4,3,0
paper_eq28_y_d,CuytLee,3,85190.036,3070,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,3,18282.258,952,4,3,0
