case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
ibp_tth2l_b25_rank0001,AutomaticNoFactorReuse,1,ok,5582480.020,22771,53,52,51,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:567;2305843009213694149:567;2305843009213694173:567;2305843009213694207:567;2305843009213694257:567;2305843009213694317:567;2305843009213694323:567;2305843009213694381:567;2305843009213694411:567;2305843009213694429:567;2305843009213694443:567;2305843009213694491:567;2305843009213694497:567;2305843009213694569:567;2305843009213694597:559;2305843009213694683:559;2305843009213694791:551;2305843009213694837:551;2305843009213694851:543;2305843009213694887:535;2305843009213694917:533;2305843009213694963:527;2305843009213695001:519;2305843009213695011:511;2305843009213695023:503;2305843009213695113:495;2305843009213695187:485;2305843009213695191:471;2305843009213695209:451;2305843009213695257:376;2305843009213695349:303;2305843009213695361:303;2305843009213695397:297;2305843009213695431:294;2305843009213695437:285;2305843009213695509:285;2305843009213695529:276;2305843009213695547:267;2305843009213695551:264;2305843009213695563:257;2305843009213695577:246;2305843009213695673:237;2305843009213695701:225;2305843009213695793:213;2305843009213695803:204;2305843009213695829:193;2305843009213695869:172;2305843009213695871:61;2305843009213695901:3,Symbolica_default,cached_powers_Q,297,272,11.826,BalancedZippel,0
ibp_tth2l_b25_rank0001,Automatic,1,ok,3018919.951,14242,55,54,53,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:270;2305843009213694149:270;2305843009213694173:270;2305843009213694207:270;2305843009213694257:270;2305843009213694317:270;2305843009213694323:270;2305843009213694381:270;2305843009213694411:270;2305843009213694429:270;2305843009213694443:270;2305843009213694491:270;2305843009213694497:270;2305843009213694569:270;2305843009213694597:270;2305843009213694683:270;2305843009213694791:269;2305843009213694837:269;2305843009213694851:268;2305843009213694887:268;2305843009213694917:267;2305843009213694963:266;2305843009213695001:266;2305843009213695011:265;2305843009213695023:264;2305843009213695113:263;2305843009213695187:262;2305843009213695191:261;2305843009213695209:260;2305843009213695257:258;2305843009213695349:255;2305843009213695361:244;2305843009213695397:237;2305843009213695431:237;2305843009213695437:230;2305843009213695509:230;2305843009213695529:223;2305843009213695547:223;2305843009213695551:216;2305843009213695563:209;2305843009213695577:208;2305843009213695673:201;2305843009213695701:194;2305843009213695793:186;2305843009213695803:175;2305843009213695829:167;2305843009213695869:160;2305843009213695871:151;2305843009213695901:135;2305843009213695937:53;2305843009213695997:3,Symbolica_default,cached_powers_Q,297,272,8.741,BalancedZippel,1
ibp_tth2l_b25_rank0001,Automatic,2,ok,3005746.839,14242,55,54,53,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:270;2305843009213694149:270;2305843009213694173:270;2305843009213694207:270;2305843009213694257:270;2305843009213694317:270;2305843009213694323:270;2305843009213694381:270;2305843009213694411:270;2305843009213694429:270;2305843009213694443:270;2305843009213694491:270;2305843009213694497:270;2305843009213694569:270;2305843009213694597:270;2305843009213694683:270;2305843009213694791:269;2305843009213694837:269;2305843009213694851:268;2305843009213694887:268;2305843009213694917:267;2305843009213694963:266;2305843009213695001:266;2305843009213695011:265;2305843009213695023:264;2305843009213695113:263;2305843009213695187:262;2305843009213695191:261;2305843009213695209:260;2305843009213695257:258;2305843009213695349:255;2305843009213695361:244;2305843009213695397:237;2305843009213695431:237;2305843009213695437:230;2305843009213695509:230;2305843009213695529:223;2305843009213695547:223;2305843009213695551:216;2305843009213695563:209;2305843009213695577:208;2305843009213695673:201;2305843009213695701:194;2305843009213695793:186;2305843009213695803:175;2305843009213695829:167;2305843009213695869:160;2305843009213695871:151;2305843009213695901:135;2305843009213695937:53;2305843009213695997:3,Symbolica_default,cached_powers_Q,297,272,9.203,BalancedZippel,1
ibp_tth2l_b25_rank0001,AutomaticNoFactorReuse,2,ok,5662879.541,22771,53,52,51,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:567;2305843009213694149:567;2305843009213694173:567;2305843009213694207:567;2305843009213694257:567;2305843009213694317:567;2305843009213694323:567;2305843009213694381:567;2305843009213694411:567;2305843009213694429:567;2305843009213694443:567;2305843009213694491:567;2305843009213694497:567;2305843009213694569:567;2305843009213694597:559;2305843009213694683:559;2305843009213694791:551;2305843009213694837:551;2305843009213694851:543;2305843009213694887:535;2305843009213694917:533;2305843009213694963:527;2305843009213695001:519;2305843009213695011:511;2305843009213695023:503;2305843009213695113:495;2305843009213695187:485;2305843009213695191:471;2305843009213695209:451;2305843009213695257:376;2305843009213695349:303;2305843009213695361:303;2305843009213695397:297;2305843009213695431:294;2305843009213695437:285;2305843009213695509:285;2305843009213695529:276;2305843009213695547:267;2305843009213695551:264;2305843009213695563:257;2305843009213695577:246;2305843009213695673:237;2305843009213695701:225;2305843009213695793:213;2305843009213695803:204;2305843009213695829:193;2305843009213695869:172;2305843009213695871:61;2305843009213695901:3,Symbolica_default,cached_powers_Q,297,272,9.507,BalancedZippel,0
ibp_tth2l_b25_rank0001,AutomaticNoFactorReuse,3,ok,5828875.603,22771,53,52,51,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:567;2305843009213694149:567;2305843009213694173:567;2305843009213694207:567;2305843009213694257:567;2305843009213694317:567;2305843009213694323:567;2305843009213694381:567;2305843009213694411:567;2305843009213694429:567;2305843009213694443:567;2305843009213694491:567;2305843009213694497:567;2305843009213694569:567;2305843009213694597:559;2305843009213694683:559;2305843009213694791:551;2305843009213694837:551;2305843009213694851:543;2305843009213694887:535;2305843009213694917:533;2305843009213694963:527;2305843009213695001:519;2305843009213695011:511;2305843009213695023:503;2305843009213695113:495;2305843009213695187:485;2305843009213695191:471;2305843009213695209:451;2305843009213695257:376;2305843009213695349:303;2305843009213695361:303;2305843009213695397:297;2305843009213695431:294;2305843009213695437:285;2305843009213695509:285;2305843009213695529:276;2305843009213695547:267;2305843009213695551:264;2305843009213695563:257;2305843009213695577:246;2305843009213695673:237;2305843009213695701:225;2305843009213695793:213;2305843009213695803:204;2305843009213695829:193;2305843009213695869:172;2305843009213695871:61;2305843009213695901:3,Symbolica_default,cached_powers_Q,297,272,11.671,BalancedZippel,0
ibp_tth2l_b25_rank0001,Automatic,3,ok,3014214.228,14242,55,54,53,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:270;2305843009213694149:270;2305843009213694173:270;2305843009213694207:270;2305843009213694257:270;2305843009213694317:270;2305843009213694323:270;2305843009213694381:270;2305843009213694411:270;2305843009213694429:270;2305843009213694443:270;2305843009213694491:270;2305843009213694497:270;2305843009213694569:270;2305843009213694597:270;2305843009213694683:270;2305843009213694791:269;2305843009213694837:269;2305843009213694851:268;2305843009213694887:268;2305843009213694917:267;2305843009213694963:266;2305843009213695001:266;2305843009213695011:265;2305843009213695023:264;2305843009213695113:263;2305843009213695187:262;2305843009213695191:261;2305843009213695209:260;2305843009213695257:258;2305843009213695349:255;2305843009213695361:244;2305843009213695397:237;2305843009213695431:237;2305843009213695437:230;2305843009213695509:230;2305843009213695529:223;2305843009213695547:223;2305843009213695551:216;2305843009213695563:209;2305843009213695577:208;2305843009213695673:201;2305843009213695701:194;2305843009213695793:186;2305843009213695803:175;2305843009213695829:167;2305843009213695869:160;2305843009213695871:151;2305843009213695901:135;2305843009213695937:53;2305843009213695997:3,Symbolica_default,cached_powers_Q,297,272,11.265,BalancedZippel,1
ibp_tth2l_b25_rank0002,AutomaticNoFactorReuse,1,ok,1874269.426,9960,44,43,42,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:292;2305843009213694149:292;2305843009213694173:292;2305843009213694207:292;2305843009213694257:292;2305843009213694317:292;2305843009213694323:292;2305843009213694381:292;2305843009213694411:292;2305843009213694429:292;2305843009213694443:292;2305843009213694491:292;2305843009213694497:292;2305843009213694569:287;2305843009213694597:287;2305843009213694683:282;2305843009213694791:278;2305843009213694837:277;2305843009213694851:272;2305843009213694887:267;2305843009213694917:262;2305843009213694963:252;2305843009213695001:247;2305843009213695011:235;2305843009213695023:192;2305843009213695113:162;2305843009213695187:162;2305843009213695191:162;2305843009213695209:156;2305843009213695257:150;2305843009213695349:150;2305843009213695361:141;2305843009213695397:135;2305843009213695431:128;2305843009213695437:120;2305843009213695509:114;2305843009213695529:108;2305843009213695547:93;2305843009213695551:66;2305843009213695563:3,Symbolica_default,cached_powers_Q,156,135,5.951,BalancedZippel,0
ibp_tth2l_b25_rank0002,Automatic,1,ok,922400.925,6027,46,45,44,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:136;2305843009213694429:136;2305843009213694443:136;2305843009213694491:136;2305843009213694497:136;2305843009213694569:136;2305843009213694597:136;2305843009213694683:135;2305843009213694791:135;2305843009213694837:134;2305843009213694851:133;2305843009213694887:133;2305843009213694917:132;2305843009213694963:131;2305843009213695001:130;2305843009213695011:128;2305843009213695023:127;2305843009213695113:124;2305843009213695187:114;2305843009213695191:110;2305843009213695209:110;2305843009213695257:110;2305843009213695349:106;2305843009213695361:102;2305843009213695397:101;2305843009213695431:95;2305843009213695437:91;2305843009213695509:86;2305843009213695529:82;2305843009213695547:78;2305843009213695551:74;2305843009213695563:65;2305843009213695577:42;2305843009213695673:3,Symbolica_default,cached_powers_Q,156,135,4.116,BalancedZippel,1
ibp_tth2l_b25_rank0002,Automatic,2,ok,980420.683,6027,46,45,44,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:136;2305843009213694429:136;2305843009213694443:136;2305843009213694491:136;2305843009213694497:136;2305843009213694569:136;2305843009213694597:136;2305843009213694683:135;2305843009213694791:135;2305843009213694837:134;2305843009213694851:133;2305843009213694887:133;2305843009213694917:132;2305843009213694963:131;2305843009213695001:130;2305843009213695011:128;2305843009213695023:127;2305843009213695113:124;2305843009213695187:114;2305843009213695191:110;2305843009213695209:110;2305843009213695257:110;2305843009213695349:106;2305843009213695361:102;2305843009213695397:101;2305843009213695431:95;2305843009213695437:91;2305843009213695509:86;2305843009213695529:82;2305843009213695547:78;2305843009213695551:74;2305843009213695563:65;2305843009213695577:42;2305843009213695673:3,Symbolica_default,cached_powers_Q,156,135,4.553,BalancedZippel,1
ibp_tth2l_b25_rank0002,AutomaticNoFactorReuse,2,ok,1864505.057,9960,44,43,42,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:292;2305843009213694149:292;2305843009213694173:292;2305843009213694207:292;2305843009213694257:292;2305843009213694317:292;2305843009213694323:292;2305843009213694381:292;2305843009213694411:292;2305843009213694429:292;2305843009213694443:292;2305843009213694491:292;2305843009213694497:292;2305843009213694569:287;2305843009213694597:287;2305843009213694683:282;2305843009213694791:278;2305843009213694837:277;2305843009213694851:272;2305843009213694887:267;2305843009213694917:262;2305843009213694963:252;2305843009213695001:247;2305843009213695011:235;2305843009213695023:192;2305843009213695113:162;2305843009213695187:162;2305843009213695191:162;2305843009213695209:156;2305843009213695257:150;2305843009213695349:150;2305843009213695361:141;2305843009213695397:135;2305843009213695431:128;2305843009213695437:120;2305843009213695509:114;2305843009213695529:108;2305843009213695547:93;2305843009213695551:66;2305843009213695563:3,Symbolica_default,cached_powers_Q,156,135,5.654,BalancedZippel,0
