case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
fire7_graph5_rank0001,Automatic,1,ok,620.492,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.866,BalancedZippelSeparated,0
fire7_graph5_rank0002,Automatic,1,ok,435.332,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,3.834,BalancedZippelSeparated,0
fire7_graph5_rank0003,Automatic,1,ok,377.601,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.512,BalancedZippelSeparated,0
fire7_graph5_rank0004,Automatic,1,ok,426.181,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.741,BalancedZippelSeparated,0
fire7_graph5_rank0005,Automatic,1,ok,870.873,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.689,BalancedZippelSeparated,0
fire7_graph5_rank0006,Automatic,1,ok,515.753,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.461,BalancedZippelSeparated,0
fire7_graph5_rank0007,Automatic,1,ok,288.332,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.587,BalancedZippelSeparated,0
fire7_graph5_rank0008,Automatic,1,ok,577.192,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.539,BalancedZippelSeparated,0
fire7_graph5_rank0009,Automatic,1,ok,351.952,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.736,BalancedZippelSeparated,0
fire7_graph5_rank0010,Automatic,1,ok,326.241,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.511,BalancedZippelSeparated,0
fire7_graph5_rank0011,Automatic,1,ok,264.201,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.650,BalancedZippelSeparated,0
fire7_graph5_rank0012,Automatic,1,ok,596.742,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.492,BalancedZippelSeparated,0
fire7_graph5_rank0013,Automatic,1,ok,553.462,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.725,BalancedZippelSeparated,0
fire7_graph5_rank0014,Automatic,1,ok,361.322,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.736,BalancedZippelSeparated,0
fire7_graph5_rank0015,Automatic,1,ok,370.842,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.776,BalancedZippelSeparated,0
fire7_graph5_rank0016,Automatic,1,ok,419.971,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.485,BalancedZippelSeparated,0
fire7_graph5_rank0017,Automatic,1,ok,465.012,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.380,BalancedZippelSeparated,0
fire7_graph5_rank0018,Automatic,1,ok,354.611,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.460,BalancedZippelSeparated,0
fire7_graph5_rank0019,Automatic,1,ok,379.002,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.751,BalancedZippelSeparated,0
fire7_graph5_rank0020,Automatic,1,ok,447.211,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,12,0.500,BalancedZippelSeparated,0
fire7_graph5_rank0021,Automatic,1,ok,389.012,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.631,BalancedZippelSeparated,0
fire7_graph5_rank0022,Automatic,1,ok,374.101,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.746,BalancedZippelSeparated,0
fire7_graph5_rank0023,Automatic,1,ok,353.922,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.874,BalancedZippelSeparated,0
fire7_graph5_rank0024,Automatic,1,ok,455.792,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.459,BalancedZippelSeparated,0
fire7_graph5_rank0025,Automatic,1,ok,591.142,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.450,BalancedZippelSeparated,0
fire7_graph5_rank0026,Automatic,1,ok,380.781,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.455,BalancedZippelSeparated,0
fire7_graph5_rank0027,Automatic,1,ok,315.881,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.462,BalancedZippelSeparated,0
fire7_graph5_rank0028,Automatic,1,ok,365.791,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.473,BalancedZippelSeparated,0
fire7_graph5_rank0029,Automatic,1,ok,267.951,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.490,BalancedZippelSeparated,0
fire7_graph5_rank0030,Automatic,1,ok,611.672,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,8,0.459,BalancedZippelSeparated,0
fire7_graph5_rank0031,Automatic,1,ok,623.303,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.477,BalancedZippelSeparated,0
fire7_graph5_rank0032,Automatic,1,ok,359.322,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,12,0.487,BalancedZippelSeparated,0
fire7_graph5_rank0033,Automatic,1,ok,686.773,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.522,BalancedZippelSeparated,0
fire7_graph5_rank0034,Automatic,1,ok,388.762,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,12,0.500,BalancedZippelSeparated,0
fire7_graph5_rank0035,Automatic,1,ok,370.842,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,10,0.437,BalancedZippelSeparated,0
