case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
fire7_nb0_rank0001,Automatic,1,ok,43649.543,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.273,BalancedZippelSeparated,0
fire7_nb0_rank0002,Automatic,1,ok,50685.590,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,6.445,BalancedZippelSeparated,0
fire7_nb0_rank0003,Automatic,1,ok,32026.926,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,5.376,BalancedZippelSeparated,0
fire7_nb0_rank0004,Automatic,1,ok,20032.759,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,3.906,BalancedZippelSeparated,0
fire7_nb0_rank0005,Automatic,1,ok,22296.158,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,3.721,BalancedZippelSeparated,0
fire7_nb0_rank0006,Automatic,1,ok,21711.005,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,4.275,BalancedZippelSeparated,0
fire7_nb0_rank0007,Automatic,1,ok,19983.498,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,4.373,BalancedZippelSeparated,0
fire7_nb0_rank0008,Automatic,1,ok,20780.942,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,4.648,BalancedZippelSeparated,0
fire7_nb0_rank0009,Automatic,1,ok,21995.026,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,4.677,BalancedZippelSeparated,0
fire7_nb0_rank0010,Automatic,1,ok,25334.049,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,4.641,BalancedZippelSeparated,0
fire7_nb0_rank0011,Automatic,1,ok,18809.144,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,3.135,BalancedZippelSeparated,0
