case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,BalancedZippel,1,77.990,24,2,1,0
paper_eq3,CuytLee,1,90.781,23,2,1,0
paper_eq3,CuytLee,2,84.261,23,2,1,0
paper_eq3,BalancedZippel,2,76.820,24,2,1,0
paper_eq3,BalancedZippel,3,73.990,24,2,1,0
paper_eq3,CuytLee,3,83.571,23,2,1,0
paper_eq3,CuytLee,4,91.610,23,2,1,0
paper_eq3,BalancedZippel,4,83.870,24,2,1,0
paper_eq3,BalancedZippel,5,77.531,24,2,1,0
paper_eq3,CuytLee,5,83.150,23,2,1,0
paper_eq28_y_d,BalancedZippel,1,37450.480,1617,4,3,0
paper_eq28_y_d,CuytLee,1,324998.330,11376,4,3,0
paper_eq28_y_d,CuytLee,2,338722.645,11376,4,3,0
paper_eq28_y_d,BalancedZippel,2,40040.228,1617,4,3,0
paper_eq28_y_d,BalancedZippel,3,42748.737,1617,4,3,0
paper_eq28_y_d,CuytLee,3,353159.671,11376,4,3,0
paper_eq28_y_d,CuytLee,4,353218.751,11376,4,3,0
paper_eq28_y_d,BalancedZippel,4,39150.485,1617,4,3,0
paper_eq28_y_d,BalancedZippel,5,43800.610,1617,4,3,0
paper_eq28_y_d,CuytLee,5,374990.902,11376,4,3,0
