case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
ibp_tth2l_b25_rank0001,FireFly_scan,1,ok,9960670.199,16107,52,,,,9223372036854773867:1;9223372036854773899:87;9223372036854773953:134;9223372036854773977:149;9223372036854773999:159;9223372036854774053:166;9223372036854774173:174;9223372036854774179:182;9223372036854774199:189;9223372036854774233:196;9223372036854774247:203;9223372036854774257:208;9223372036854774277:213;9223372036854774307:217;9223372036854774319:224;9223372036854774341:224;9223372036854774413:365;9223372036854774451:365;9223372036854774499:365;9223372036854774509:365;9223372036854774511:365;9223372036854774559:365;9223372036854774571:365;9223372036854774587:365;9223372036854774629:365;9223372036854774679:365;9223372036854774713:365;9223372036854774739:365;9223372036854774797:365;9223372036854774893:365;9223372036854774917:365;9223372036854774937:365;9223372036854774959:365;9223372036854775057:365;9223372036854775073:365;9223372036854775097:365;9223372036854775139:365;9223372036854775159:365;9223372036854775181:365;9223372036854775259:365;9223372036854775279:365;9223372036854775291:365;9223372036854775337:365;9223372036854775351:365;9223372036854775399:365;9223372036854775417:365;9223372036854775421:365;9223372036854775433:365;9223372036854775507:365;9223372036854775549:365;9223372036854775643:399;9223372036854775783:572,FireFly_default,cached_powers_Q,297,272,,,
ibp_tth2l_b25_rank0001,FIRE7_Q_learned,1,ok,17686662.335,33177,52,51,,,18446744073709549441:3;18446744073709549483:649;18446744073709549519:649;18446744073709549571:649;18446744073709549583:649;18446744073709549613:649;18446744073709549621:649;18446744073709549667:649;18446744073709549733:649;18446744073709549757:649;18446744073709549777:649;18446744073709549811:649;18446744073709549817:649;18446744073709549861:649;18446744073709549951:649;18446744073709550009:649;18446744073709550033:649;18446744073709550047:649;18446744073709550099:649;18446744073709550111:649;18446744073709550129:649;18446744073709550141:649;18446744073709550147:649;18446744073709550237:649;18446744073709550293:649;18446744073709550341:649;18446744073709550381:649;18446744073709550537:649;18446744073709550539:649;18446744073709550591:649;18446744073709550593:649;18446744073709550671:649;18446744073709550681:649;18446744073709550717:649;18446744073709550719:649;18446744073709550771:649;18446744073709550773:649;18446744073709550791:649;18446744073709550873:649;18446744073709551113:649;18446744073709551163:649;18446744073709551191:649;18446744073709551253:649;18446744073709551263:649;18446744073709551293:649;18446744073709551337:649;18446744073709551359:649;18446744073709551427:649;18446744073709551437:649;18446744073709551521:649;18446744073709551533:649;18446744073709551557:724,FIRE7_native_64,cached_powers_Q,297,272,,,
ibp_tth2l_b25_rank0001,Automatic,1,ok,2502280.716,14242,55,54,53,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:270;2305843009213694149:270;2305843009213694173:270;2305843009213694207:270;2305843009213694257:270;2305843009213694317:270;2305843009213694323:270;2305843009213694381:270;2305843009213694411:270;2305843009213694429:270;2305843009213694443:270;2305843009213694491:270;2305843009213694497:270;2305843009213694569:270;2305843009213694597:270;2305843009213694683:270;2305843009213694791:269;2305843009213694837:269;2305843009213694851:268;2305843009213694887:268;2305843009213694917:267;2305843009213694963:266;2305843009213695001:266;2305843009213695011:265;2305843009213695023:264;2305843009213695113:263;2305843009213695187:262;2305843009213695191:261;2305843009213695209:260;2305843009213695257:258;2305843009213695349:255;2305843009213695361:244;2305843009213695397:237;2305843009213695431:237;2305843009213695437:230;2305843009213695509:230;2305843009213695529:223;2305843009213695547:223;2305843009213695551:216;2305843009213695563:209;2305843009213695577:208;2305843009213695673:201;2305843009213695701:194;2305843009213695793:186;2305843009213695803:175;2305843009213695829:167;2305843009213695869:160;2305843009213695871:151;2305843009213695901:135;2305843009213695937:53;2305843009213695997:3,Symbolica_default,cached_powers_Q,297,272,9.124,BalancedZippel,1
ibp_tth2l_b25_rank0002,FireFly_scan,1,ok,2708580.653,7476,43,,,,9223372036854774233:1;9223372036854774247:52;9223372036854774257:64;9223372036854774277:72;9223372036854774307:76;9223372036854774319:80;9223372036854774341:84;9223372036854774413:88;9223372036854774451:92;9223372036854774499:96;9223372036854774509:100;9223372036854774511:100;9223372036854774559:104;9223372036854774571:210;9223372036854774587:210;9223372036854774629:210;9223372036854774679:210;9223372036854774713:210;9223372036854774739:210;9223372036854774797:210;9223372036854774893:210;9223372036854774917:210;9223372036854774937:210;9223372036854774959:210;9223372036854775057:210;9223372036854775073:210;9223372036854775097:210;9223372036854775139:210;9223372036854775159:210;9223372036854775181:210;9223372036854775259:210;9223372036854775279:210;9223372036854775291:210;9223372036854775337:210;9223372036854775351:210;9223372036854775399:210;9223372036854775417:210;9223372036854775421:210;9223372036854775433:210;9223372036854775507:210;9223372036854775549:210;9223372036854775643:232;9223372036854775783:355,FireFly_default,cached_powers_Q,156,135,,,
ibp_tth2l_b25_rank0002,FIRE7_Q_learned,1,ok,5704783.516,14886,43,42,,,18446744073709549757:3;18446744073709549777:354;18446744073709549811:354;18446744073709549817:354;18446744073709549861:354;18446744073709549951:354;18446744073709550009:354;18446744073709550033:354;18446744073709550047:354;18446744073709550099:354;18446744073709550111:354;18446744073709550129:354;18446744073709550141:354;18446744073709550147:354;18446744073709550237:354;18446744073709550293:354;18446744073709550341:354;18446744073709550381:354;18446744073709550537:354;18446744073709550539:354;18446744073709550591:354;18446744073709550593:354;18446744073709550671:354;18446744073709550681:354;18446744073709550717:354;18446744073709550719:354;18446744073709550771:354;18446744073709550773:354;18446744073709550791:354;18446744073709550873:354;18446744073709551113:354;18446744073709551163:354;18446744073709551191:354;18446744073709551253:354;18446744073709551263:354;18446744073709551293:354;18446744073709551337:354;18446744073709551359:354;18446744073709551427:354;18446744073709551437:354;18446744073709551521:354;18446744073709551533:354;18446744073709551557:369,FIRE7_native_64,cached_powers_Q,156,135,,,
ibp_tth2l_b25_rank0002,Automatic,1,ok,870209.488,6027,46,45,44,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:136;2305843009213694429:136;2305843009213694443:136;2305843009213694491:136;2305843009213694497:136;2305843009213694569:136;2305843009213694597:136;2305843009213694683:135;2305843009213694791:135;2305843009213694837:134;2305843009213694851:133;2305843009213694887:133;2305843009213694917:132;2305843009213694963:131;2305843009213695001:130;2305843009213695011:128;2305843009213695023:127;2305843009213695113:124;2305843009213695187:114;2305843009213695191:110;2305843009213695209:110;2305843009213695257:110;2305843009213695349:106;2305843009213695361:102;2305843009213695397:101;2305843009213695431:95;2305843009213695437:91;2305843009213695509:86;2305843009213695529:82;2305843009213695547:78;2305843009213695551:74;2305843009213695563:65;2305843009213695577:42;2305843009213695673:3,Symbolica_default,cached_powers_Q,156,135,4.420,BalancedZippel,1
ibp_tth2l_b25_rank0003,FireFly_scan,1,ok,308396.410,2033,21,,,,9223372036854774937:1;9223372036854774959:35;9223372036854775057:40;9223372036854775073:44;9223372036854775097:106;9223372036854775139:106;9223372036854775159:106;9223372036854775181:106;9223372036854775259:106;9223372036854775279:106;9223372036854775291:106;9223372036854775337:106;9223372036854775351:106;9223372036854775399:106;9223372036854775417:106;9223372036854775421:106;9223372036854775433:106;9223372036854775507:106;9223372036854775549:106;9223372036854775643:126;9223372036854775783:197,FireFly_default,cached_powers_Q,65,70,,,
ibp_tth2l_b25_rank0003,FIRE7_Q_learned,1,ok,734303.664,3604,22,21,,,18446744073709550593:3;18446744073709550671:171;18446744073709550681:171;18446744073709550717:171;18446744073709550719:171;18446744073709550771:171;18446744073709550773:171;18446744073709550791:171;18446744073709550873:171;18446744073709551113:171;18446744073709551163:171;18446744073709551191:171;18446744073709551253:171;18446744073709551263:171;18446744073709551293:171;18446744073709551337:171;18446744073709551359:171;18446744073709551427:171;18446744073709551437:171;18446744073709551521:171;18446744073709551533:171;18446744073709551557:181,FIRE7_native_64,cached_powers_Q,65,70,,,
ibp_tth2l_b25_rank0003,Automatic,1,ok,106437.501,1727,23,22,21,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:45;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,65,70,37.730,BalancedZippel,1
ibp_tth2l_b25_rank0004,FireFly_scan,1,ok,309432.964,2038,21,,,,9223372036854774937:1;9223372036854774959:36;9223372036854775057:40;9223372036854775073:44;9223372036854775097:106;9223372036854775139:106;9223372036854775159:106;9223372036854775181:106;9223372036854775259:106;9223372036854775279:106;9223372036854775291:106;9223372036854775337:106;9223372036854775351:106;9223372036854775399:106;9223372036854775417:106;9223372036854775421:106;9223372036854775433:106;9223372036854775507:106;9223372036854775549:106;9223372036854775643:128;9223372036854775783:199,FireFly_default,cached_powers_Q,78,70,,,
