case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
fire7_graph5_rank0001,Automatic,1,ok,2440.989,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.570,BalancedZippelSeparated,0
fire7_graph5_rank0002,Automatic,1,ok,657.723,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.530,BalancedZippelSeparated,0
fire7_graph5_rank0003,Automatic,1,ok,666.393,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.528,BalancedZippelSeparated,0
fire7_graph5_rank0004,Automatic,1,ok,608.783,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.519,BalancedZippelSeparated,0
fire7_graph5_rank0005,Automatic,1,ok,345.891,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.539,BalancedZippelSeparated,0
fire7_graph5_rank0006,Automatic,1,ok,385.921,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.520,BalancedZippelSeparated,0
fire7_graph5_rank0007,Automatic,1,ok,383.671,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.595,BalancedZippelSeparated,0
fire7_graph5_rank0008,Automatic,1,ok,345.291,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.497,BalancedZippelSeparated,0
fire7_graph5_rank0009,Automatic,1,ok,341.272,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.706,BalancedZippelSeparated,0
fire7_graph5_rank0010,Automatic,1,ok,609.863,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.752,BalancedZippelSeparated,0
fire7_graph5_rank0011,Automatic,1,ok,337.521,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.793,BalancedZippelSeparated,0
fire7_graph5_rank0012,Automatic,1,ok,368.741,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.657,BalancedZippelSeparated,0
fire7_graph5_rank0013,Automatic,1,ok,717.912,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.487,BalancedZippelSeparated,0
fire7_graph5_rank0014,Automatic,1,ok,355.981,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.468,BalancedZippelSeparated,0
fire7_graph5_rank0015,Automatic,1,ok,361.131,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.449,BalancedZippelSeparated,0
fire7_graph5_rank0016,Automatic,1,ok,321.811,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.550,BalancedZippelSeparated,0
fire7_graph5_rank0017,Automatic,1,ok,347.162,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.456,BalancedZippelSeparated,0
fire7_graph5_rank0018,Automatic,1,ok,554.413,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.452,BalancedZippelSeparated,0
fire7_graph5_rank0019,Automatic,1,ok,320.001,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.672,BalancedZippelSeparated,0
fire7_graph5_rank0020,Automatic,1,ok,322.012,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,12,0.418,BalancedZippelSeparated,0
fire7_graph5_rank0021,Automatic,1,ok,341.101,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.461,BalancedZippelSeparated,0
fire7_graph5_rank0022,Automatic,1,ok,348.821,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.724,BalancedZippelSeparated,0
fire7_graph5_rank0023,Automatic,1,ok,339.232,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.642,BalancedZippelSeparated,0
fire7_graph5_rank0024,Automatic,1,ok,688.853,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.403,BalancedZippelSeparated,0
fire7_graph5_rank0025,Automatic,1,ok,350.701,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.676,BalancedZippelSeparated,0
fire7_graph5_rank0026,Automatic,1,ok,357.181,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.439,BalancedZippelSeparated,0
fire7_graph5_rank0027,Automatic,1,ok,592.753,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.650,BalancedZippelSeparated,0
fire7_graph5_rank0028,Automatic,1,ok,581.693,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.420,BalancedZippelSeparated,0
fire7_graph5_rank0029,Automatic,1,ok,319.921,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.548,BalancedZippelSeparated,0
fire7_graph5_rank0030,Automatic,1,ok,539.292,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,8,0.382,BalancedZippelSeparated,0
fire7_graph5_rank0031,Automatic,1,ok,313.732,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.412,BalancedZippelSeparated,0
fire7_graph5_rank0032,Automatic,1,ok,348.272,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,12,0.557,BalancedZippelSeparated,0
fire7_graph5_rank0033,Automatic,1,ok,562.012,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.411,BalancedZippelSeparated,0
fire7_graph5_rank0034,Automatic,1,ok,330.201,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,12,0.636,BalancedZippelSeparated,0
