case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
fire7_nb0_rank0001,Automatic,1,ok,53718.027,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,7.646,BalancedZippelSeparated,0
fire7_nb0_rank0002,Automatic,1,ok,59027.298,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,7.896,BalancedZippelSeparated,0
fire7_nb0_rank0003,Automatic,1,ok,35202.316,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,6.295,BalancedZippelSeparated,0
fire7_nb0_rank0004,Automatic,1,ok,30946.000,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,6.533,BalancedZippelSeparated,0
fire7_nb0_rank0005,Automatic,1,ok,33971.891,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,6.023,BalancedZippelSeparated,0
fire7_nb0_rank0006,Automatic,1,ok,31706.572,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,5.961,BalancedZippelSeparated,0
fire7_nb0_rank0007,Automatic,1,ok,26616.152,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,5.682,BalancedZippelSeparated,0
fire7_nb0_rank0008,Automatic,1,ok,27126.224,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,5.601,BalancedZippelSeparated,0
fire7_nb0_rank0009,Automatic,1,ok,24963.926,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,5.417,BalancedZippelSeparated,0
fire7_nb0_rank0010,Automatic,1,ok,29177.583,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,5.258,BalancedZippelSeparated,0
