case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
ibp_xbox2l2m_rank0001,Automatic,1,ok,1477889.671,8303,2,1,0,0,2305843009213693967:8300;2305843009213693973:3,Symbolica_default,cached_powers_Q,7019,4586,33.324,BalancedZippel,0
ibp_xbox2l2m_rank0001,Automatic,2,ok,1478981.435,8303,2,1,0,0,2305843009213693967:8300;2305843009213693973:3,Symbolica_default,cached_powers_Q,7019,4586,32.754,BalancedZippel,0
ibp_xbox2l2m_rank0001,Automatic,3,ok,1493624.712,8303,2,1,0,0,2305843009213693967:8300;2305843009213693973:3,Symbolica_default,cached_powers_Q,7019,4586,33.518,BalancedZippel,0
ibp_xbox2l2m_rank0002,Automatic,1,ok,2342733.957,11597,2,1,0,0,2305843009213693967:11594;2305843009213693973:3,Symbolica_default,cached_powers_Q,7877,5810,65.935,BalancedZippel,0
ibp_xbox2l2m_rank0002,Automatic,2,ok,2345972.140,11597,2,1,0,0,2305843009213693967:11594;2305843009213693973:3,Symbolica_default,cached_powers_Q,7877,5810,47.046,BalancedZippel,0
ibp_xbox2l2m_rank0002,Automatic,3,ok,2369167.799,11597,2,1,0,0,2305843009213693967:11594;2305843009213693973:3,Symbolica_default,cached_powers_Q,7877,5810,47.121,BalancedZippel,0
ibp_xbox2l2m_rank0003,Automatic,1,ok,5363651.740,18029,2,1,0,0,2305843009213693967:18026;2305843009213693973:3,Symbolica_default,cached_powers_Q,14045,9070,74.888,BalancedZippel,0
ibp_xbox2l2m_rank0003,Automatic,2,ok,5369786.484,18029,2,1,0,0,2305843009213693967:18026;2305843009213693973:3,Symbolica_default,cached_powers_Q,14045,9070,72.758,BalancedZippel,0
ibp_xbox2l2m_rank0003,Automatic,3,ok,5360495.958,18029,2,1,0,0,2305843009213693967:18026;2305843009213693973:3,Symbolica_default,cached_powers_Q,14045,9070,73.095,BalancedZippel,0
ibp_xbox2l2m_rank0004,Automatic,1,ok,108441.288,1862,2,1,0,0,2305843009213693967:1859;2305843009213693973:3,Symbolica_default,cached_powers_Q,1631,1059,55.773,BalancedZippelSeparated,0
ibp_xbox2l2m_rank0004,Automatic,2,ok,108594.459,1862,2,1,0,0,2305843009213693967:1859;2305843009213693973:3,Symbolica_default,cached_powers_Q,1631,1059,4.961,BalancedZippelSeparated,0
ibp_xbox2l2m_rank0004,Automatic,3,ok,108365.228,1862,2,1,0,0,2305843009213693967:1859;2305843009213693973:3,Symbolica_default,cached_powers_Q,1631,1059,5.030,BalancedZippelSeparated,0
