case,method,seed,status,elapsed_us,probes,primes,probes_by_prime,control
zero,Rare_scaling,1,ok,926.813,8,2,1152921504606846883:6;1152921504606846869:2,zero.1
zero,Rare_scaling,7,ok,31.730,8,2,1152921504606846883:6;1152921504606846869:2,zero.7
zero,Rare_scaling,19,ok,31.190,8,2,1152921504606846883:6;1152921504606846869:2,zero.19
constant,Rare_scaling,1,ok,455.752,8,2,1152921504606846883:6;1152921504606846869:2,constant.1
constant,Rare_scaling,7,ok,34.771,8,2,1152921504606846883:6;1152921504606846869:2,constant.7
constant,Rare_scaling,19,ok,46.171,8,2,1152921504606846883:6;1152921504606846869:2,constant.19
univariate,Rare_scaling,1,ok,379.401,9,2,1152921504606846883:8;1152921504606846869:1,univariate.1
univariate,Rare_scaling,7,ok,32.300,9,2,1152921504606846883:8;1152921504606846869:1,univariate.7
univariate,Rare_scaling,19,ok,48.580,9,2,1152921504606846883:8;1152921504606846869:1,univariate.19
mixed,Rare_scaling,1,ok,47.390,16,2,1152921504606846883:14;1152921504606846869:2,mixed.1
mixed,Rare_scaling,7,ok,57.790,16,2,1152921504606846883:14;1152921504606846869:2,mixed.7
mixed,Rare_scaling,19,ok,44.480,16,2,1152921504606846883:14;1152921504606846869:2,mixed.19
large,Rare_scaling,1,ok,1876.857,134,15,1152921504606846883:15;1152921504606846869:9;1152921504606846803:9;1152921504606846797:9;1152921504606846719:9;1152921504606846697:9;1152921504606846607:9;1152921504606846581:9;1152921504606846577:9;1152921504606846523:9;1152921504606846419:9;1152921504606846397:9;1152921504606846347:9;1152921504606846307:9;1152921504606846281:2,large.1
large,Rare_scaling,7,ok,926.473,134,15,1152921504606846883:15;1152921504606846869:9;1152921504606846803:9;1152921504606846797:9;1152921504606846719:9;1152921504606846697:9;1152921504606846607:9;1152921504606846581:9;1152921504606846577:9;1152921504606846523:9;1152921504606846419:9;1152921504606846397:9;1152921504606846347:9;1152921504606846307:9;1152921504606846281:2,large.7
large,Rare_scaling,19,ok,894.733,134,15,1152921504606846883:15;1152921504606846869:9;1152921504606846803:9;1152921504606846797:9;1152921504606846719:9;1152921504606846697:9;1152921504606846607:9;1152921504606846581:9;1152921504606846577:9;1152921504606846523:9;1152921504606846419:9;1152921504606846397:9;1152921504606846347:9;1152921504606846307:9;1152921504606846281:2,large.19
trivariate,Rare_scaling,1,ok,180.261,27,2,1152921504606846883:25;1152921504606846869:2,trivariate.1
trivariate,Rare_scaling,7,ok,91.340,27,2,1152921504606846883:25;1152921504606846869:2,trivariate.7
trivariate,Rare_scaling,19,ok,84.040,27,2,1152921504606846883:25;1152921504606846869:2,trivariate.19
order,Rare_scaling,1,ok,380.131,117,4,1152921504606846883:49;1152921504606846869:33;1152921504606846803:33;1152921504606846797:2,order.1
order,Rare_scaling,7,ok,259.161,117,4,1152921504606846883:49;1152921504606846869:33;1152921504606846803:33;1152921504606846797:2,order.7
order,Rare_scaling,19,ok,228.371,117,4,1152921504606846883:49;1152921504606846869:33;1152921504606846803:33;1152921504606846797:2,order.19
large,Rare_scaling,1,probe_limit,18.250,1,1,1152921504606846883:1,large.1.MAX_TOTAL_PROBES
large,Rare_scaling,1,prime_limit,4.360,0,0,,large.1.MAX_PRIMES
large,Rare_scaling,1,prime_limit,78.900,24,2,1152921504606846883:15;1152921504606846869:9,large.1.MAX_PRIMES
large,Rare_scaling,1,time_limit,11.690,0,0,,large.1.BENCH_TIMEOUT
large,Rare_scaling,1,identity_check_failed,903.633,134,15,1152921504606846883:15;1152921504606846869:9;1152921504606846803:9;1152921504606846797:9;1152921504606846719:9;1152921504606846697:9;1152921504606846607:9;1152921504606846581:9;1152921504606846577:9;1152921504606846523:9;1152921504606846419:9;1152921504606846397:9;1152921504606846347:9;1152921504606846307:9;1152921504606846281:2,large.1.RARE_Q_CHECKER
