case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,728.072,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.681,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,1,ok,516.632,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.817,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,1,ok,643.472,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.638,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,1,ok,379.761,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.818,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,1,ok,560.082,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.575,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,1,ok,663.972,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.731,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,1,ok,577.452,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.831,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,1,ok,371.181,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.734,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,1,ok,332.781,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.582,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,1,ok,386.971,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.874,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,1,ok,446.861,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.859,BalancedZippelSeparated
fire7_graph5_rank0012,Automatic,1,ok,588.973,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.540,BalancedZippelSeparated
fire7_graph5_rank0013,Automatic,1,ok,568.832,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.782,BalancedZippelSeparated
fire7_graph5_rank0014,Automatic,1,ok,555.962,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.562,BalancedZippelSeparated
