case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,37486.176,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,42.739,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,70999.917,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,38.974,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,52543.091,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,28.899,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,35657.450,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,28.283,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,39186.242,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,48.488,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,25030.901,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,27.918,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,35274.988,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,49.027,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,51367.936,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,10.990,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,20060.512,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,35.940,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,38219.708,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,23.497,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,49099.248,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,22.041,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,32997.160,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,21.813,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,41625.491,1108,2,1,0,0,2305843009213693967:1105;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,23.382,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,46286.618,963,2,1,0,0,2305843009213693967:960;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,29.099,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,40395.897,978,2,1,0,0,2305843009213693967:975;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,17.504,BalancedZippelSeparated
fire7_nb0_rank0016,Automatic,1,ok,26939.397,1102,2,1,0,0,2305843009213693967:1099;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,22.806,BalancedZippelSeparated
fire7_nb0_rank0017,Automatic,1,ok,58280.722,1141,2,1,0,0,2305843009213693967:1138;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,189,18.120,BalancedZippelSeparated
fire7_nb0_rank0018,Automatic,1,ok,24296.208,1210,2,1,0,0,2305843009213693967:1207;2305843009213693973:3,Symbolica_default,cached_powers_Q,566,189,37.458,BalancedZippelSeparated
fire7_nb0_rank0019,Automatic,1,ok,51319.376,1089,2,1,0,0,2305843009213693967:1086;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,168,28.347,BalancedZippelSeparated
fire7_nb0_rank0020,Automatic,1,ok,13378.038,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,539,189,42.167,BalancedZippelSeparated
fire7_nb0_rank0021,Automatic,1,ok,57611.579,1027,2,1,0,0,2305843009213693967:1024;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,312,9.638,BalancedZippelSeparated
fire7_nb0_rank0022,Automatic,1,ok,60065.918,1066,2,1,0,0,2305843009213693967:1063;2305843009213693973:3,Symbolica_default,cached_powers_Q,550,168,24.325,BalancedZippelSeparated
fire7_nb0_rank0023,Automatic,1,ok,51005.934,945,2,1,0,0,2305843009213693967:942;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,240,9.550,BalancedZippelSeparated
fire7_nb0_rank0024,Automatic,1,ok,45153.264,985,2,1,0,0,2305843009213693967:982;2305843009213693973:3,Symbolica_default,cached_powers_Q,497,240,17.173,BalancedZippelSeparated
fire7_nb0_rank0025,Automatic,1,ok,13929.540,807,2,1,0,0,2305843009213693967:804;2305843009213693973:3,Symbolica_default,cached_powers_Q,395,328,4.845,BalancedZippelSeparated
fire7_nb0_rank0026,Automatic,1,ok,17189.592,1029,2,1,0,0,2305843009213693967:1026;2305843009213693973:3,Symbolica_default,cached_powers_Q,532,168,4.716,BalancedZippelSeparated
fire7_nb0_rank0027,Automatic,1,ok,11410.321,825,2,1,0,0,2305843009213693967:822;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,232,4.610,BalancedZippelSeparated
fire7_nb0_rank0028,Automatic,1,ok,13673.650,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,147,6.461,BalancedZippelSeparated
fire7_nb0_rank0029,Automatic,1,ok,10086.867,764,2,1,0,0,2305843009213693967:761;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,162,4.387,BalancedZippelSeparated
fire7_nb0_rank0030,Automatic,1,ok,15260.086,1017,2,1,0,0,2305843009213693967:1014;2305843009213693973:3,Symbolica_default,cached_powers_Q,504,126,2.538,BalancedZippelSeparated
fire7_nb0_rank0031,Automatic,1,ok,14856.004,1000,2,1,0,0,2305843009213693967:997;2305843009213693973:3,Symbolica_default,cached_powers_Q,471,147,4.400,BalancedZippelSeparated
fire7_nb0_rank0032,Automatic,1,ok,13060.827,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,449,153,4.508,BalancedZippelSeparated
fire7_nb0_rank0033,Automatic,1,ok,12294.665,760,2,1,0,0,2305843009213693967:757;2305843009213693973:3,Symbolica_default,cached_powers_Q,404,192,4.500,BalancedZippelSeparated
fire7_nb0_rank0034,Automatic,1,ok,14311.481,900,2,1,0,0,2305843009213693967:897;2305843009213693973:3,Symbolica_default,cached_powers_Q,458,144,4.540,BalancedZippelSeparated
fire7_nb0_rank0035,Automatic,1,ok,11433.521,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,445,154,4.571,BalancedZippelSeparated
fire7_nb0_rank0036,Automatic,1,ok,11455.511,867,2,1,0,0,2305843009213693967:864;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,168,4.516,BalancedZippelSeparated
fire7_nb0_rank0037,Automatic,1,ok,12775.566,798,2,1,0,0,2305843009213693967:795;2305843009213693973:3,Symbolica_default,cached_powers_Q,405,168,4.442,BalancedZippelSeparated
fire7_nb0_rank0038,Automatic,1,ok,16965.032,1004,2,1,0,0,2305843009213693967:1001;2305843009213693973:3,Symbolica_default,cached_powers_Q,466,119,6.565,BalancedZippelSeparated
fire7_nb0_rank0039,Automatic,1,ok,9451.274,740,2,1,0,0,2305843009213693967:737;2305843009213693973:3,Symbolica_default,cached_powers_Q,308,240,4.372,BalancedZippelSeparated
fire7_nb0_rank0040,Automatic,1,ok,13000.457,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,443,119,4.461,BalancedZippelSeparated
fire7_nb0_rank0041,Automatic,1,ok,10174.377,620,2,1,0,0,2305843009213693967:617;2305843009213693973:3,Symbolica_default,cached_powers_Q,362,176,4.338,BalancedZippelSeparated
fire7_nb0_rank0042,Automatic,1,ok,13401.398,895,2,1,0,0,2305843009213693967:892;2305843009213693973:3,Symbolica_default,cached_powers_Q,400,147,4.450,BalancedZippelSeparated
fire7_nb0_rank0043,Automatic,1,ok,14178.942,966,2,1,0,0,2305843009213693967:963;2305843009213693973:3,Symbolica_default,cached_powers_Q,432,126,4.363,BalancedZippelSeparated
fire7_nb0_rank0044,Automatic,1,ok,13843.910,944,2,1,0,0,2305843009213693967:941;2305843009213693973:3,Symbolica_default,cached_powers_Q,418,126,4.445,BalancedZippelSeparated
fire7_nb0_rank0045,Automatic,1,ok,12494.556,809,2,1,0,0,2305843009213693967:806;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,126,6.320,BalancedZippelSeparated
fire7_nb0_rank0046,Automatic,1,ok,15789.847,900,2,1,0,0,2305843009213693967:897;2305843009213693973:3,Symbolica_default,cached_powers_Q,422,132,6.358,BalancedZippelSeparated
fire7_nb0_rank0047,Automatic,1,ok,12401.535,835,2,1,0,0,2305843009213693967:832;2305843009213693973:3,Symbolica_default,cached_powers_Q,452,77,4.326,BalancedZippelSeparated
fire7_nb0_rank0048,Automatic,1,ok,8886.822,726,2,1,0,0,2305843009213693967:723;2305843009213693973:3,Symbolica_default,cached_powers_Q,280,224,4.230,BalancedZippelSeparated
fire7_nb0_rank0049,Automatic,1,ok,8910.432,726,2,1,0,0,2305843009213693967:723;2305843009213693973:3,Symbolica_default,cached_powers_Q,280,224,4.305,BalancedZippelSeparated
fire7_nb0_rank0050,Automatic,1,ok,10711.329,677,2,1,0,0,2305843009213693967:674;2305843009213693973:3,Symbolica_default,cached_powers_Q,340,176,4.281,BalancedZippelSeparated
fire7_nb0_rank0051,Automatic,1,ok,16337.469,873,2,1,0,0,2305843009213693967:870;2305843009213693973:3,Symbolica_default,cached_powers_Q,383,162,5.571,BalancedZippelSeparated
fire7_nb0_rank0052,Automatic,1,ok,11446.971,759,2,1,0,0,2305843009213693967:756;2305843009213693973:3,Symbolica_default,cached_powers_Q,299,224,2.063,BalancedZippelSeparated
fire7_nb0_rank0053,Automatic,1,ok,11653.112,782,2,1,0,0,2305843009213693967:779;2305843009213693973:3,Symbolica_default,cached_powers_Q,351,180,4.233,BalancedZippelSeparated
fire7_nb0_rank0054,Automatic,1,ok,15522.016,817,2,1,0,0,2305843009213693967:814;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,126,5.397,BalancedZippelSeparated
fire7_nb0_rank0055,Automatic,1,ok,8125.530,626,2,1,0,0,2305843009213693967:623;2305843009213693973:3,Symbolica_default,cached_powers_Q,330,168,4.348,BalancedZippelSeparated
fire7_nb0_rank0056,Automatic,1,ok,10221.287,598,2,1,0,0,2305843009213693967:595;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,81,4.608,BalancedZippelSeparated
fire7_nb0_rank0057,Automatic,1,ok,10937.170,708,2,1,0,0,2305843009213693967:705;2305843009213693973:3,Symbolica_default,cached_powers_Q,359,152,5.379,BalancedZippelSeparated
fire7_nb0_rank0058,Automatic,1,ok,8968.132,723,2,1,0,0,2305843009213693967:720;2305843009213693973:3,Symbolica_default,cached_powers_Q,337,168,6.077,BalancedZippelSeparated
fire7_nb0_rank0059,Automatic,1,ok,11913.583,750,2,1,0,0,2305843009213693967:747;2305843009213693973:3,Symbolica_default,cached_powers_Q,360,147,5.961,BalancedZippelSeparated
fire7_nb0_rank0060,Automatic,1,ok,9060.803,729,2,1,0,0,2305843009213693967:726;2305843009213693973:3,Symbolica_default,cached_powers_Q,380,119,6.285,BalancedZippelSeparated
fire7_nb0_rank0061,Automatic,1,ok,10414.668,696,2,1,0,0,2305843009213693967:693;2305843009213693973:3,Symbolica_default,cached_powers_Q,270,210,5.198,BalancedZippelSeparated
fire7_nb0_rank0062,Automatic,1,ok,8463.031,696,2,1,0,0,2305843009213693967:693;2305843009213693973:3,Symbolica_default,cached_powers_Q,270,210,4.193,BalancedZippelSeparated
fire7_nb0_rank0063,Automatic,1,ok,12240.254,824,2,1,0,0,2305843009213693967:821;2305843009213693973:3,Symbolica_default,cached_powers_Q,376,126,4.424,BalancedZippelSeparated
fire7_nb0_rank0064,Automatic,1,ok,9833.706,816,2,1,0,0,2305843009213693967:813;2305843009213693973:3,Symbolica_default,cached_powers_Q,375,132,4.333,BalancedZippelSeparated
fire7_nb0_rank0065,Automatic,1,ok,9956.465,598,2,1,0,0,2305843009213693967:595;2305843009213693973:3,Symbolica_default,cached_powers_Q,401,81,5.670,BalancedZippelSeparated
fire7_nb0_rank0066,Automatic,1,ok,8213.830,638,2,1,0,0,2305843009213693967:635;2305843009213693973:3,Symbolica_default,cached_powers_Q,306,192,4.373,BalancedZippelSeparated
