case,version,seed,status,elapsed_us,probes,setup_ms,num_terms,den_terms
thiele_dense_32,baseline,1,ok,717.593,71,1.979,33,33
thiele_dense_32,current,1,ok,219.391,71,0.410,33,33
thiele_dense_32,current,2,ok,202.531,71,0.319,33,33
thiele_dense_32,baseline,2,ok,499.162,71,0.295,33,33
thiele_dense_32,baseline,3,ok,496.322,71,0.406,33,33
thiele_dense_32,current,3,ok,219.821,71,0.413,33,33
thiele_dense_32,current,4,ok,199.761,71,0.328,33,33
thiele_dense_32,baseline,4,ok,658.422,71,0.294,33,33
thiele_dense_32,baseline,5,ok,508.392,71,0.257,33,33
thiele_dense_32,current,5,ok,223.131,71,0.423,33,33
thiele_dense_32,current,6,ok,222.561,71,0.417,33,33
thiele_dense_32,baseline,6,ok,689.602,71,0.311,33,33
thiele_dense_32,baseline,7,ok,694.613,71,0.316,33,33
thiele_dense_32,current,7,ok,271.711,71,0.572,33,33
thiele_dense_32,current,8,ok,349.631,71,0.403,33,33
thiele_dense_32,baseline,8,ok,505.322,71,0.318,33,33
thiele_dense_32,baseline,9,ok,512.402,71,0.465,33,33
thiele_dense_32,current,9,ok,231.511,71,0.624,33,33
thiele_dense_64,baseline,1,ok,2071.197,135,0.449,65,65
thiele_dense_64,current,1,ok,713.433,135,0.712,65,65
thiele_dense_64,current,2,ok,737.653,135,0.562,65,65
thiele_dense_64,baseline,2,ok,2130.898,135,0.452,65,65
thiele_dense_64,baseline,3,ok,1956.618,135,0.557,65,65
thiele_dense_64,current,3,ok,722.203,135,0.561,65,65
thiele_dense_64,current,4,ok,730.103,135,0.729,65,65
thiele_dense_64,baseline,4,ok,1942.557,135,0.633,65,65
thiele_dense_64,baseline,5,ok,1920.177,135,0.599,65,65
thiele_dense_64,current,5,ok,720.063,135,0.557,65,65
thiele_dense_64,current,6,ok,732.982,135,0.741,65,65
thiele_dense_64,baseline,6,ok,2116.087,135,0.452,65,65
thiele_dense_64,baseline,7,ok,2077.438,135,0.442,65,65
thiele_dense_64,current,7,ok,600.123,135,0.647,65,65
thiele_dense_64,current,8,ok,696.973,135,0.530,65,65
thiele_dense_64,baseline,8,ok,2117.548,135,0.462,65,65
thiele_dense_64,baseline,9,ok,1974.097,135,0.574,65,65
thiele_dense_64,current,9,ok,719.563,135,0.719,65,65
thiele_dense_128,baseline,1,ok,23044.934,263,0.901,129,129
thiele_dense_128,current,1,ok,16777.731,263,0.989,129,129
thiele_dense_128,current,2,ok,16002.838,263,0.924,129,129
thiele_dense_128,baseline,2,ok,21278.407,263,0.905,129,129
thiele_dense_128,baseline,3,ok,20934.436,263,0.742,129,129
thiele_dense_128,current,3,ok,15883.227,263,0.940,129,129
thiele_dense_128,current,4,ok,16152.188,263,0.926,129,129
thiele_dense_128,baseline,4,ok,21098.237,263,0.739,129,129
thiele_dense_128,baseline,5,ok,20521.715,263,0.881,129,129
thiele_dense_128,current,5,ok,16274.229,263,0.958,129,129
thiele_dense_128,current,6,ok,15865.997,263,0.899,129,129
thiele_dense_128,baseline,6,ok,20874.616,263,0.728,129,129
thiele_dense_128,baseline,7,ok,21259.017,263,0.913,129,129
thiele_dense_128,current,7,ok,15818.568,263,0.934,129,129
thiele_dense_128,current,8,ok,15675.427,263,0.919,129,129
thiele_dense_128,baseline,8,ok,11853.423,263,0.920,129,129
thiele_dense_128,baseline,9,ok,21747.389,263,0.735,129,129
thiele_dense_128,current,9,ok,16025.728,263,0.753,129,129
thiele_dense_256,baseline,1,ok,31369.454,519,1.747,257,257
thiele_dense_256,current,1,ok,20106.203,519,1.573,257,257
thiele_dense_256,current,2,ok,21064.876,519,1.766,257,257
thiele_dense_256,baseline,2,ok,40535.897,519,1.398,257,257
thiele_dense_256,baseline,3,ok,40867.838,519,1.702,257,257
thiele_dense_256,current,3,ok,25568.663,519,1.599,257,257
thiele_dense_256,current,4,ok,19901.832,519,1.706,257,257
thiele_dense_256,baseline,4,ok,41456.040,519,1.743,257,257
thiele_dense_256,baseline,5,ok,31123.383,519,1.393,257,257
thiele_dense_256,current,5,ok,22213.100,519,1.586,257,257
thiele_dense_256,current,6,ok,11008.460,519,1.703,257,257
thiele_dense_256,baseline,6,ok,39983.985,519,1.743,257,257
thiele_dense_256,baseline,7,ok,41642.421,519,1.575,257,257
thiele_dense_256,current,7,ok,11005.340,519,1.784,257,257
thiele_dense_256,current,8,ok,21249.927,519,1.708,257,257
thiele_dense_256,baseline,8,ok,31108.803,519,1.546,257,257
thiele_dense_256,baseline,9,ok,41435.510,519,1.595,257,257
thiele_dense_256,current,9,ok,20637.665,519,1.708,257,257
thiele_dense_512,baseline,1,ok,122198.812,1031,22.966,513,513
thiele_dense_512,current,1,ok,43182.157,1031,21.899,513,513
thiele_dense_512,current,2,ok,42372.084,1031,22.176,513,513
thiele_dense_512,baseline,2,ok,123938.269,1031,32.301,513,513
thiele_dense_512,baseline,3,ok,130187.452,1031,8.464,513,513
thiele_dense_512,current,3,ok,53028.522,1031,22.978,513,513
thiele_dense_512,current,4,ok,53037.153,1031,22.143,513,513
thiele_dense_512,baseline,4,ok,121663.361,1031,23.263,513,513
thiele_dense_512,baseline,5,ok,120045.846,1031,22.385,513,513
thiele_dense_512,current,5,ok,43556.948,1031,26.340,513,513
thiele_dense_512,current,6,ok,42924.286,1031,22.417,513,513
thiele_dense_512,baseline,6,ok,133946.786,1031,22.662,513,513
thiele_dense_512,baseline,7,ok,121377.370,1031,22.328,513,513
thiele_dense_512,current,7,ok,53487.843,1031,22.928,513,513
thiele_dense_512,current,8,ok,50556.923,1031,23.107,513,513
thiele_dense_512,baseline,8,ok,132661.830,1031,32.532,513,513
thiele_dense_512,baseline,9,ok,129515.800,1031,8.418,513,513
thiele_dense_512,current,9,ok,45608.775,1031,32.179,513,513
