case,seed,Symbolica,rare
fire7_graph5_rank0001,1,51,98
fire7_graph5_rank0001,2,51,98
fire7_graph5_rank0001,3,51,98
fire7_graph5_rank0002,1,55,108
fire7_graph5_rank0002,2,55,108
fire7_graph5_rank0002,3,55,108
fire7_graph5_rank0003,1,48,92
fire7_graph5_rank0003,2,48,92
fire7_graph5_rank0003,3,48,92
fire7_graph5_rank0004,1,50,105
fire7_graph5_rank0004,2,50,105
fire7_graph5_rank0004,3,50,105
fire7_graph5_rank0005,1,43,78
fire7_graph5_rank0005,2,43,78
fire7_graph5_rank0005,3,43,78
fire7_graph5_rank0006,1,48,92
fire7_graph5_rank0006,2,48,92
fire7_graph5_rank0006,3,48,92
fire7_graph5_rank0007,1,46,93
fire7_graph5_rank0007,2,46,93
fire7_graph5_rank0007,3,46,93
fire7_graph5_rank0008,1,37,57
fire7_graph5_rank0008,2,37,57
fire7_graph5_rank0008,3,37,57
fire7_graph5_rank0009,1,37,57
fire7_graph5_rank0009,2,37,57
fire7_graph5_rank0009,3,37,57
fire7_graph5_rank0010,1,40,72
fire7_graph5_rank0010,2,40,72
fire7_graph5_rank0010,3,40,72
fire7_graph5_rank0011,1,40,69
fire7_graph5_rank0011,2,40,69
fire7_graph5_rank0011,3,40,69
fire7_graph5_rank0012,1,40,69
fire7_graph5_rank0012,2,40,69
fire7_graph5_rank0012,3,40,69
fire7_graph5_rank0013,1,34,50
fire7_graph5_rank0013,2,34,50
fire7_graph5_rank0013,3,34,50
fire7_graph5_rank0014,1,40,69
fire7_graph5_rank0014,2,40,69
fire7_graph5_rank0014,3,40,69
fire7_graph5_rank0015,1,37,57
fire7_graph5_rank0015,2,37,57
fire7_graph5_rank0015,3,37,57
fire7_graph5_rank0016,1,37,57
fire7_graph5_rank0016,2,37,57
fire7_graph5_rank0016,3,37,57
fire7_graph5_rank0017,1,40,69
fire7_graph5_rank0017,2,40,69
fire7_graph5_rank0017,3,40,69
fire7_graph5_rank0078,1,27,41
fire7_graph5_rank0078,2,27,41
fire7_graph5_rank0078,3,27,41
fire7_graph5_rank0140,1,30,46
fire7_graph5_rank0140,2,30,46
fire7_graph5_rank0140,3,30,46
fire7_graph5_rank0202,1,25,40
fire7_graph5_rank0202,2,25,40
fire7_graph5_rank0202,3,25,40
fire7_graph5_rank0264,1,26,37
fire7_graph5_rank0264,2,26,37
fire7_graph5_rank0264,3,26,37
fire7_graph5_rank0326,1,20,22
fire7_graph5_rank0326,2,20,22
fire7_graph5_rank0326,3,20,22
fire7_graph5_rank0388,1,20,21
fire7_graph5_rank0388,2,20,21
fire7_graph5_rank0388,3,20,21
fire7_graph5_rank0450,1,22,26
fire7_graph5_rank0450,2,22,26
fire7_graph5_rank0450,3,22,26
fire7_graph5_rank0511,1,23,29
fire7_graph5_rank0511,2,23,29
fire7_graph5_rank0511,3,23,29
fire7_graph5_rank0573,1,21,26
fire7_graph5_rank0573,2,21,26
fire7_graph5_rank0573,3,21,26
fire7_graph5_rank0635,1,17,12
fire7_graph5_rank0635,2,17,12
fire7_graph5_rank0635,3,17,12
fire7_graph5_rank0697,1,16,14
fire7_graph5_rank0697,2,16,14
fire7_graph5_rank0697,3,16,14
fire7_graph5_rank0759,1,19,22
fire7_graph5_rank0759,2,19,22
fire7_graph5_rank0759,3,19,22
fire7_graph5_rank0821,1,14,10
fire7_graph5_rank0821,2,14,10
fire7_graph5_rank0821,3,14,10
fire7_graph5_rank0883,1,16,13
fire7_graph5_rank0883,2,16,13
fire7_graph5_rank0883,3,16,13
fire7_graph5_rank0945,1,13,8
fire7_graph5_rank0945,2,13,8
fire7_graph5_rank0945,3,13,8
