case,seed,Symbolica,rare
fire7_nb0_rank0001,1,1731,35856
fire7_nb0_rank0002,1,1933,34179
fire7_nb0_rank0003,1,1451,26069
fire7_nb0_rank0004,1,1276,27335
fire7_nb0_rank0005,1,1407,30263
fire7_nb0_rank0006,1,1354,27945
fire7_nb0_rank0007,1,1164,25032
fire7_nb0_rank0008,1,1164,25008
fire7_nb0_rank0009,1,1150,21488
fire7_nb0_rank0010,1,1323,21285
fire7_nb0_rank0011,1,1337,21263
fire7_nb0_rank0012,1,878,20819
fire7_nb0_rank0013,1,1108,19508
fire7_nb0_rank0014,1,963,19307
fire7_nb0_rank0015,1,978,20038
fire7_nb0_rank0016,1,1102,21258
fire7_nb0_rank0017,1,1141,17336
fire7_nb0_rank0237,1,375,4667
fire7_nb0_rank0457,1,227,3643
fire7_nb0_rank0677,1,185,1668
fire7_nb0_rank0897,1,134,1841
fire7_nb0_rank1117,1,115,843
fire7_nb0_rank1337,1,111,723
fire7_nb0_rank1557,1,97,481
fire7_nb0_rank1778,1,79,267
fire7_nb0_rank1998,1,62,398
fire7_nb0_rank2218,1,53,127
fire7_nb0_rank2438,1,50,223
fire7_nb0_rank2658,1,51,112
fire7_nb0_rank2878,1,37,40
fire7_nb0_rank3098,1,34,57
fire7_nb0_rank3319,1,14,14
