case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Rare_scaling,1,ok,264.621,98,2,,,,1152921504606846883:96;1152921504606846869:2,Rare_native_60,cached_powers_Q,26,14,,
fire7_graph5_rank0001,Automatic,1,ok,517.752,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.444,BalancedZippelSeparated
fire7_graph5_rank0001,Automatic,2,ok,507.832,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.472,BalancedZippelSeparated
fire7_graph5_rank0001,Rare_scaling,2,ok,262.821,98,2,,,,1152921504606846883:96;1152921504606846869:2,Rare_native_60,cached_powers_Q,26,14,,
fire7_graph5_rank0001,Rare_scaling,3,ok,240.481,98,2,,,,1152921504606846883:96;1152921504606846869:2,Rare_native_60,cached_powers_Q,26,14,,
fire7_graph5_rank0001,Automatic,3,ok,484.032,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.461,BalancedZippelSeparated
fire7_graph5_rank0002,Rare_scaling,1,ok,286.651,108,2,,,,1152921504606846883:106;1152921504606846869:2,Rare_native_60,cached_powers_Q,29,16,,
fire7_graph5_rank0002,Automatic,1,ok,507.422,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.608,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,2,ok,339.541,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.619,BalancedZippelSeparated
fire7_graph5_rank0002,Rare_scaling,2,ok,293.572,108,2,,,,1152921504606846883:106;1152921504606846869:2,Rare_native_60,cached_powers_Q,29,16,,
fire7_graph5_rank0002,Rare_scaling,3,ok,269.081,108,2,,,,1152921504606846883:106;1152921504606846869:2,Rare_native_60,cached_powers_Q,29,16,,
fire7_graph5_rank0002,Automatic,3,ok,477.702,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.620,BalancedZippelSeparated
fire7_graph5_rank0003,Rare_scaling,1,ok,248.051,92,2,,,,1152921504606846883:90;1152921504606846869:2,Rare_native_60,cached_powers_Q,24,14,,
