case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
coeff_prop_4l,Rare_scaling,1,ok,20681649.311,94176,8,,,,1152921504606846883:13594;1152921504606846869:13430;1152921504606846803:13430;1152921504606846797:13430;1152921504606846719:13430;1152921504606846697:13430;1152921504606846607:13430;1152921504606846581:2,Rare_native_60,cached_powers_Q,6671,6051,,
coeff_prop_4l,Automatic,1,ok,12388151.412,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,108.131,BalancedZippel
coeff_prop_4l_mod,Rare_scaling,1,ok,18616281.422,94176,8,,,,1152921504606846883:13594;1152921504606846869:13430;1152921504606846803:13430;1152921504606846797:13430;1152921504606846719:13430;1152921504606846697:13430;1152921504606846607:13430;1152921504606846581:2,Rare_native_60,cached_powers_Q,6671,6051,,
coeff_prop_4l_mod,Automatic,1,ok,11327296.009,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,243.876,BalancedZippel
aajamp,Rare_scaling,1,time_limit,180001205.462,161649,1,,,,1152921504606846883:161649,Rare_native_60,cached_powers_Q,23260,7231,,
aajamp,Automatic,1,ok,15970032.523,43957,2,1,0,0,2305843009213693967:43954;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5264.343,CuytLeePruned
aajamp_mod,Rare_scaling,1,time_limit,180001129.357,159948,1,,,,1152921504606846883:159948,Rare_native_60,cached_powers_Q,23260,7231,,
aajamp_mod,Automatic,1,ok,16523213.838,43955,2,1,0,0,2305843009213693967:43952;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,6536.928,CuytLeePruned
fire7_nb0_largest,Rare_scaling,1,ok,10272028.100,35856,2,,,,1152921504606846883:35854;1152921504606846869:2,Rare_native_60,cached_powers_Q,858,414,,
fire7_nb0_largest,Automatic,1,ok,50024.092,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,40.173,BalancedZippelSeparated
