case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Rare_scaling,1,ok,12983816.021,35856,2,,,,1152921504606846883:35854;1152921504606846869:2,Rare_native_60,cached_powers_Q,858,414,,
fire7_nb0_rank0002,Rare_scaling,1,ok,11843011.474,34179,2,,,,1152921504606846883:34177;1152921504606846869:2,Rare_native_60,cached_powers_Q,877,414,,
fire7_nb0_rank0003,Rare_scaling,1,ok,6893750.602,26069,2,,,,1152921504606846883:26067;1152921504606846869:2,Rare_native_60,cached_powers_Q,753,243,,
fire7_nb0_rank0004,Rare_scaling,1,ok,7512632.175,27335,2,,,,1152921504606846883:27333;1152921504606846869:2,Rare_native_60,cached_powers_Q,722,243,,
fire7_nb0_rank0005,Rare_scaling,1,ok,9158411.241,30263,2,,,,1152921504606846883:30261;1152921504606846869:2,Rare_native_60,cached_powers_Q,739,224,,
fire7_nb0_rank0006,Rare_scaling,1,ok,7753672.419,27945,2,,,,1152921504606846883:27943;1152921504606846869:2,Rare_native_60,cached_powers_Q,720,224,,
fire7_nb0_rank0007,Rare_scaling,1,ok,6211769.646,25032,2,,,,1152921504606846883:25030;1152921504606846869:2,Rare_native_60,cached_powers_Q,648,261,,
fire7_nb0_rank0008,Rare_scaling,1,ok,5957836.469,25008,2,,,,1152921504606846883:25006;1152921504606846869:2,Rare_native_60,cached_powers_Q,645,261,,
fire7_nb0_rank0009,Rare_scaling,1,ok,4359709.665,21488,2,,,,1152921504606846883:21486;1152921504606846869:2,Rare_native_60,cached_powers_Q,578,261,,
fire7_nb0_rank0010,Rare_scaling,1,ok,4298385.333,21285,2,,,,1152921504606846883:21283;1152921504606846869:2,Rare_native_60,cached_powers_Q,639,196,,
fire7_nb0_rank0011,Rare_scaling,1,ok,4242859.171,21263,2,,,,1152921504606846883:21261;1152921504606846869:2,Rare_native_60,cached_powers_Q,640,196,,
fire7_nb0_rank0012,Rare_scaling,1,ok,4071263.249,20819,2,,,,1152921504606846883:20817;1152921504606846869:2,Rare_native_60,cached_powers_Q,431,369,,
fire7_nb0_rank0013,Rare_scaling,1,ok,3493914.036,19508,2,,,,1152921504606846883:19506;1152921504606846869:2,Rare_native_60,cached_powers_Q,534,232,,
fire7_nb0_rank0014,Rare_scaling,1,ok,2959920.230,19307,2,,,,1152921504606846883:19305;1152921504606846869:2,Rare_native_60,cached_powers_Q,572,198,,
fire7_nb0_rank0015,Rare_scaling,1,ok,3289123.803,20038,2,,,,1152921504606846883:20036;1152921504606846869:2,Rare_native_60,cached_powers_Q,530,232,,
fire7_nb0_rank0016,Rare_scaling,1,ok,3703640.295,21258,2,,,,1152921504606846883:21256;1152921504606846869:2,Rare_native_60,cached_powers_Q,530,232,,
fire7_nb0_rank0017,Rare_scaling,1,ok,2476500.488,17336,2,,,,1152921504606846883:17334;1152921504606846869:2,Rare_native_60,cached_powers_Q,567,189,,
fire7_nb0_rank0237,Rare_scaling,1,ok,189517.917,4667,2,,,,1152921504606846883:4665;1152921504606846869:2,Rare_native_60,cached_powers_Q,153,126,,
fire7_nb0_rank0457,Rare_scaling,1,ok,119223.133,3643,2,,,,1152921504606846883:3641;1152921504606846869:2,Rare_native_60,cached_powers_Q,88,78,,
fire7_nb0_rank0677,Rare_scaling,1,ok,24600.119,1668,2,,,,1152921504606846883:1666;1152921504606846869:2,Rare_native_60,cached_powers_Q,98,30,,
fire7_nb0_rank0897,Rare_scaling,1,ok,28888.284,1841,2,,,,1152921504606846883:1839;1152921504606846869:2,Rare_native_60,cached_powers_Q,6,100,,
fire7_nb0_rank1117,Rare_scaling,1,ok,8113.799,843,2,,,,1152921504606846883:841;1152921504606846869:2,Rare_native_60,cached_powers_Q,30,45,,
fire7_nb0_rank1337,Rare_scaling,1,ok,5849.851,723,2,,,,1152921504606846883:721;1152921504606846869:2,Rare_native_60,cached_powers_Q,45,10,,
fire7_nb0_rank1557,Rare_scaling,1,ok,2351.818,481,2,,,,1152921504606846883:479;1152921504606846869:2,Rare_native_60,cached_powers_Q,36,10,,
fire7_nb0_rank1778,Rare_scaling,1,ok,902.413,267,2,,,,1152921504606846883:265;1152921504606846869:2,Rare_native_60,cached_powers_Q,24,10,,
fire7_nb0_rank1998,Rare_scaling,1,ok,1702.867,398,2,,,,1152921504606846883:396;1152921504606846869:2,Rare_native_60,cached_powers_Q,17,5,,
fire7_nb0_rank2218,Rare_scaling,1,ok,314.951,127,2,,,,1152921504606846883:125;1152921504606846869:2,Rare_native_60,cached_powers_Q,10,12,,
fire7_nb0_rank2438,Rare_scaling,1,ok,802.962,223,2,,,,1152921504606846883:221;1152921504606846869:2,Rare_native_60,cached_powers_Q,5,8,,
fire7_nb0_rank2658,Rare_scaling,1,ok,301.451,112,2,,,,1152921504606846883:110;1152921504606846869:2,Rare_native_60,cached_powers_Q,12,4,,
fire7_nb0_rank2878,Rare_scaling,1,ok,138.451,40,2,,,,1152921504606846883:38;1152921504606846869:2,Rare_native_60,cached_powers_Q,6,3,,
fire7_nb0_rank3098,Rare_scaling,1,ok,172.700,57,2,,,,1152921504606846883:55;1152921504606846869:2,Rare_native_60,cached_powers_Q,6,2,,
fire7_nb0_rank3319,Rare_scaling,1,ok,66.860,14,2,,,,1152921504606846883:12;1152921504606846869:2,Rare_native_60,cached_powers_Q,1,1,,
