case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
coeff_prop_4l,Automatic,1,ok,11241288.493,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,113.054,BalancedZippel
coeff_prop_4l,Automatic,2,ok,10749722.128,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,78.447,BalancedZippel
coeff_prop_4l,Automatic,3,ok,10331336.328,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,50.192,BalancedZippel
coeff_prop_4l_mod,Automatic,1,ok,11179399.654,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,49.854,BalancedZippel
coeff_prop_4l_mod,Automatic,2,ok,11830006.361,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,86.848,BalancedZippel
coeff_prop_4l_mod,Automatic,3,ok,10296926.201,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,62.616,BalancedZippel
aajamp,Automatic,1,ok,17338259.658,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5494.572,CuytLeePruned
aajamp,Automatic,2,ok,16141759.719,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,7690.873,CuytLeePruned
aajamp,Automatic,3,ok,15886600.492,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5228.238,CuytLeePruned
aajamp_mod,Automatic,1,ok,16108541.767,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5174.211,CuytLeePruned
aajamp_mod,Automatic,2,ok,15613171.610,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5180.628,CuytLeePruned
aajamp_mod,Automatic,3,ok,17262418.721,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5173.284,CuytLeePruned
fire7_nb0_largest,Automatic,1,ok,37052.474,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.696,BalancedZippelSeparated
fire7_nb0_largest,Automatic,2,ok,37096.223,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.661,BalancedZippelSeparated
fire7_nb0_largest,Automatic,3,ok,37241.064,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.610,BalancedZippelSeparated
