case,method,seed,elapsed_us,probes,primes,images,support_resets,support_reuses,support_fallbacks
paper_eq3,BalancedZippelSeparated,1,126.390,32,2,1,0,0,0
paper_eq3,BalancedZippel,1,94.829,19,2,1,0,0,0
paper_eq3,CuytLeePruned,1,219.300,28,2,1,0,0,0
paper_eq3,CuytLee,1,124.891,31,2,1,0,0,0
paper_eq3,BalancedZippel,2,101.760,19,2,1,0,0,0
paper_eq3,CuytLeePruned,2,118.600,28,2,1,0,0,0
paper_eq3,BalancedZippelSeparated,2,124.600,32,2,1,0,0,0
paper_eq3,CuytLee,2,123.461,31,2,1,0,0,0
paper_eq3,CuytLeePruned,3,124.990,28,2,1,0,0,0
paper_eq3,BalancedZippel,3,103.650,19,2,1,0,0,0
paper_eq3,CuytLee,3,121.681,31,2,1,0,0,0
paper_eq3,BalancedZippelSeparated,3,128.200,32,2,1,0,0,0
paper_eq28_y_d,BalancedZippelSeparated,1,24891.195,829,4,3,0,1,1
paper_eq28_y_d,BalancedZippel,1,32480.212,1119,4,3,0,1,1
paper_eq28_y_d,CuytLeePruned,1,76279.790,2015,4,3,0,1,1
paper_eq28_y_d,CuytLee,1,128317.945,2947,4,3,0,1,1
paper_eq28_y_d,BalancedZippel,2,32622.683,1119,4,3,0,1,1
paper_eq28_y_d,CuytLeePruned,2,76257.180,2015,4,3,0,1,1
paper_eq28_y_d,BalancedZippelSeparated,2,24995.265,829,4,3,0,1,1
paper_eq28_y_d,CuytLee,2,127833.875,2947,4,3,0,1,1
paper_eq28_y_d,CuytLeePruned,3,76395.650,2015,4,3,0,1,1
paper_eq28_y_d,BalancedZippel,3,32660.093,1119,4,3,0,1,1
paper_eq28_y_d,CuytLee,3,128011.864,2947,4,3,0,1,1
paper_eq28_y_d,BalancedZippelSeparated,3,24923.775,829,4,3,0,1,1
