case,method,seed,status,elapsed_us,probes,prime,oracle,degree_race,num_terms,den_terms,setup_ms,selected_methods,selection_probes,sparse_rows,sparse_row_fallbacks
firefly_f1,AutomaticDenseRows,1,ok,77080.360,8596,9223372036854775783,cached_powers,0,20,20,0.333,BalancedZippel,132,0,0
firefly_f1,FireFly_default,1,ok,102605.736,3356,9223372036854775783,cached_powers,0,20,20,,,,,
firefly_f1,Automatic,1,ok,27299.010,1946,9223372036854775783,cached_powers,0,20,20,0.501,BalancedZippel,132,190,0
firefly_f1,FireFly_default,2,ok,111487.635,3353,9223372036854775783,cached_powers,0,20,20,,,,,
firefly_f1,Automatic,2,ok,40300.169,1946,9223372036854775783,cached_powers,0,20,20,0.339,BalancedZippel,132,190,0
firefly_f1,AutomaticDenseRows,2,ok,74163.253,8596,9223372036854775783,cached_powers,0,20,20,0.307,BalancedZippel,132,0,0
firefly_f1,Automatic,3,ok,41927.732,1946,9223372036854775783,cached_powers,0,20,20,0.323,BalancedZippel,132,190,0
firefly_f1,AutomaticDenseRows,3,ok,78322.322,8596,9223372036854775783,cached_powers,0,20,20,0.474,BalancedZippel,132,0,0
firefly_f1,FireFly_default,3,ok,105800.073,3352,9223372036854775783,cached_powers,0,20,20,,,,,
firefly_f2,AutomaticDenseRows,1,ok,71251.437,2271,9223372036854775783,cached_powers,0,3,2,0.214,BalancedZippel,227,0,0
firefly_f2,FireFly_default,1,ok,788890.424,2457,9223372036854775783,cached_powers,0,3,2,,,,,
firefly_f2,Automatic,1,ok,60868.084,1479,9223372036854775783,cached_powers,0,3,2,0.247,BalancedZippel,227,3,0
firefly_f2,FireFly_default,2,ok,769063.581,2457,9223372036854775783,cached_powers,0,3,2,,,,,
firefly_f2,Automatic,2,ok,61079.425,1479,9223372036854775783,cached_powers,0,3,2,0.246,BalancedZippel,227,3,0
firefly_f2,AutomaticDenseRows,2,ok,68424.791,2271,9223372036854775783,cached_powers,0,3,2,0.217,BalancedZippel,227,0,0
firefly_f2,Automatic,3,ok,60949.864,1479,9223372036854775783,cached_powers,0,3,2,0.234,BalancedZippel,227,3,0
firefly_f2,AutomaticDenseRows,3,ok,68191.620,2271,9223372036854775783,cached_powers,0,3,2,0.364,BalancedZippel,227,0,0
firefly_f2,FireFly_default,3,ok,895671.130,2457,9223372036854775783,cached_powers,0,3,2,,,,,
