case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq3,CuytLee,1,0,127.051,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,1,0,117.460,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,1,0,68.071,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,2,0,131.451,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,2,0,124.691,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,2,0,71.360,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,3,0,71.350,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,3,0,148.330,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,3,0,126.030,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,4,0,71.650,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,4,0,125.521,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,4,0,123.290,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,5,0,134.141,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,5,0,66.370,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,5,0,115.161,28,0,1,3,1,2,3,0,0
paper_eq3,CuytLee,6,0,141.730,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,6,0,75.880,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,6,0,126.800,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,7,0,124.640,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,7,0,134.360,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,7,0,65.260,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,8,0,127.001,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,8,0,123.050,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,8,0,89.630,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,9,0,68.050,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,9,0,124.141,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,9,0,131.151,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,1,0,157.910,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,1,0,124.261,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,1,0,65.600,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,2,0,131.760,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,2,0,130.440,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,2,0,72.031,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,3,0,72.611,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,3,0,124.891,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,3,0,130.860,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,4,0,59.630,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,4,0,127.131,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,4,0,129.980,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,5,0,434.562,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,5,0,94.090,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,5,0,136.520,28,1,1,3,1,2,3,0,0
firefly_shift,CuytLee,6,0,123.051,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,6,0,75.850,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,6,0,130.411,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,7,0,123.880,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,7,0,126.511,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,7,0,69.130,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,8,0,157.751,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,8,0,130.150,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,8,0,59.280,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,9,0,65.560,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,9,0,129.190,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,9,0,130.650,29,0,1,4,0,2,3,2,1
sparse3,CuytLee,1,0,1183.345,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,1,0,1511.935,172,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,1,0,702.332,92,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,2,0,1381.215,172,0,1,6,0,4,3,6,1
sparse3,CuytLee,2,0,1196.785,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,2,0,725.203,92,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,3,0,703.432,92,0,1,3,0,4,3,3,0
sparse3,CuytLee,3,0,1195.324,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,3,0,1383.635,172,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,4,0,710.903,92,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,4,0,1331.055,172,0,1,6,0,4,3,6,1
sparse3,CuytLee,4,0,1442.516,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,5,0,1385.235,172,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,5,0,709.273,92,0,1,3,0,4,3,3,0
sparse3,CuytLee,5,0,1164.555,167,0,1,4,15,4,3,0,0
sparse3,CuytLee,6,0,1187.945,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,6,0,720.643,92,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,6,0,1352.065,172,0,1,6,0,4,3,6,1
sparse3,CuytLee,7,0,1185.115,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,7,0,1390.025,172,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,7,0,703.303,92,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,8,0,1351.965,172,0,1,6,0,4,3,6,1
sparse3,CuytLee,8,0,1195.015,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,8,0,726.123,92,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,9,0,713.643,92,0,1,3,0,4,3,3,0
sparse3,CuytLee,9,0,1156.735,167,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,9,0,1362.216,172,0,1,6,0,4,3,6,1
sparse4,CuytLee,1,0,604.863,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,1,0,717.353,128,0,1,8,0,4,3,12,1
