case,method,mode,seed,elapsed_us,probes
paper_eq3,CuytLee,ff,1,129.940,28
paper_eq3,BalancedZippelSeparated,ff,1,130.170,29
paper_eq3,BalancedZippel,ff,1,69.390,16
paper_eq3,BalancedZippelSeparated,ff,2,131.091,29
paper_eq3,CuytLee,ff,2,145.080,28
paper_eq3,BalancedZippel,ff,2,71.740,16
paper_eq3,BalancedZippel,ff,3,69.980,16
paper_eq3,CuytLee,ff,3,117.881,28
paper_eq3,BalancedZippelSeparated,ff,3,129.540,29
paper_eq3,BalancedZippel,ff,4,71.711,16
paper_eq3,BalancedZippelSeparated,ff,4,116.480,29
paper_eq3,CuytLee,ff,4,117.111,28
paper_eq3,BalancedZippelSeparated,ff,5,151.290,29
paper_eq3,BalancedZippel,ff,5,68.921,16
paper_eq3,CuytLee,ff,5,116.000,28
paper_eq3,CuytLee,ff,6,99.351,28
paper_eq3,BalancedZippel,ff,6,65.330,16
paper_eq3,BalancedZippelSeparated,ff,6,124.631,29
paper_eq3,CuytLee,ff,7,123.201,28
paper_eq3,BalancedZippelSeparated,ff,7,131.861,29
paper_eq3,BalancedZippel,ff,7,87.670,16
paper_eq3,BalancedZippelSeparated,ff,8,124.030,29
paper_eq3,CuytLee,ff,8,120.090,28
paper_eq3,BalancedZippel,ff,8,73.390,16
paper_eq3,BalancedZippel,ff,9,70.440,16
paper_eq3,CuytLee,ff,9,114.380,28
paper_eq3,BalancedZippelSeparated,ff,9,126.441,29
paper_eq28_y_d,CuytLee,ff,1,33650.692,1362
paper_eq28_y_d,BalancedZippelSeparated,ff,1,3514.674,303
paper_eq28_y_d,BalancedZippel,ff,1,4391.117,448
paper_eq28_y_d,BalancedZippelSeparated,ff,2,3525.024,303
paper_eq28_y_d,CuytLee,ff,2,33535.042,1362
paper_eq28_y_d,BalancedZippel,ff,2,4326.747,448
paper_eq28_y_d,BalancedZippel,ff,3,4285.757,448
paper_eq28_y_d,CuytLee,ff,3,33272.411,1362
paper_eq28_y_d,BalancedZippelSeparated,ff,3,3460.423,303
paper_eq28_y_d,BalancedZippel,ff,4,4367.727,448
paper_eq28_y_d,BalancedZippelSeparated,ff,4,3406.764,303
paper_eq28_y_d,CuytLee,ff,4,33483.331,1362
paper_eq28_y_d,BalancedZippelSeparated,ff,5,3537.123,303
paper_eq28_y_d,BalancedZippel,ff,5,4394.968,448
paper_eq28_y_d,CuytLee,ff,5,33885.622,1362
paper_eq28_y_d,CuytLee,ff,6,35237.768,1362
paper_eq28_y_d,BalancedZippel,ff,6,4881.089,448
paper_eq28_y_d,BalancedZippelSeparated,ff,6,3731.074,303
paper_eq28_y_d,CuytLee,ff,7,36564.293,1362
paper_eq28_y_d,BalancedZippelSeparated,ff,7,3767.985,303
paper_eq28_y_d,BalancedZippel,ff,7,4716.889,448
paper_eq28_y_d,BalancedZippelSeparated,ff,8,3734.544,303
paper_eq28_y_d,CuytLee,ff,8,35512.048,1362
paper_eq28_y_d,BalancedZippel,ff,8,4513.168,448
paper_eq28_y_d,BalancedZippel,ff,9,4545.998,448
paper_eq28_y_d,CuytLee,ff,9,35043.607,1362
paper_eq28_y_d,BalancedZippelSeparated,ff,9,3614.824,303
