case,method,mode,seed,elapsed_us,probes
paper_eq3,CuytLee,ff,1,35.510,28
paper_eq3,BalancedZippelSeparated,ff,1,41.741,29
paper_eq3,BalancedZippel,ff,1,23.990,16
paper_eq3,BalancedZippelSeparated,ff,2,40.300,29
paper_eq3,CuytLee,ff,2,35.250,28
paper_eq3,BalancedZippel,ff,2,24.470,16
paper_eq3,BalancedZippel,ff,3,23.991,16
paper_eq3,CuytLee,ff,3,33.360,28
paper_eq3,BalancedZippelSeparated,ff,3,39.220,29
paper_eq3,BalancedZippel,ff,4,23.950,16
paper_eq3,BalancedZippelSeparated,ff,4,37.830,29
paper_eq3,CuytLee,ff,4,189.481,28
paper_eq3,BalancedZippelSeparated,ff,5,92.111,29
paper_eq3,BalancedZippel,ff,5,24.080,16
paper_eq3,CuytLee,ff,5,37.370,28
paper_eq3,CuytLee,ff,6,35.150,28
paper_eq3,BalancedZippel,ff,6,24.010,16
paper_eq3,BalancedZippelSeparated,ff,6,38.100,29
paper_eq3,CuytLee,ff,7,33.190,28
paper_eq3,BalancedZippelSeparated,ff,7,39.260,29
paper_eq3,BalancedZippel,ff,7,23.760,16
paper_eq3,BalancedZippelSeparated,ff,8,39.340,29
paper_eq3,CuytLee,ff,8,32.281,28
paper_eq3,BalancedZippel,ff,8,23.451,16
paper_eq3,BalancedZippel,ff,9,23.360,16
paper_eq3,CuytLee,ff,9,32.630,28
paper_eq3,BalancedZippelSeparated,ff,9,39.210,29
paper_eq28_y_d,CuytLee,ff,1,25131.966,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,1,1243.546,306
paper_eq28_y_d,BalancedZippel,ff,1,2000.649,451
paper_eq28_y_d,BalancedZippelSeparated,ff,2,1050.625,306
paper_eq28_y_d,CuytLee,ff,2,24120.921,1365
paper_eq28_y_d,BalancedZippel,ff,2,1840.818,451
paper_eq28_y_d,BalancedZippel,ff,3,1742.848,451
paper_eq28_y_d,CuytLee,ff,3,18576.156,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,3,1099.205,306
paper_eq28_y_d,BalancedZippel,ff,4,1733.948,451
paper_eq28_y_d,BalancedZippelSeparated,ff,4,1015.775,306
paper_eq28_y_d,CuytLee,ff,4,17853.742,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,5,1047.385,306
paper_eq28_y_d,BalancedZippel,ff,5,1690.848,451
paper_eq28_y_d,CuytLee,ff,5,17940.423,1365
paper_eq28_y_d,CuytLee,ff,6,17906.583,1365
paper_eq28_y_d,BalancedZippel,ff,6,1729.578,451
paper_eq28_y_d,BalancedZippelSeparated,ff,6,1015.145,306
paper_eq28_y_d,CuytLee,ff,7,19306.680,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,7,1065.264,306
paper_eq28_y_d,BalancedZippel,ff,7,1729.708,451
paper_eq28_y_d,BalancedZippelSeparated,ff,8,1031.865,306
paper_eq28_y_d,CuytLee,ff,8,23959.791,1365
paper_eq28_y_d,BalancedZippel,ff,8,2044.649,451
paper_eq28_y_d,BalancedZippel,ff,9,2021.299,451
paper_eq28_y_d,CuytLee,ff,9,21813.511,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,9,1070.855,306
