case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,CuytLee,1,195.721,31,2,1,0
paper_eq3,BalancedZippelSeparated,1,212.880,32,2,1,0
paper_eq3,BalancedZippel,1,119.610,19,2,1,0
paper_eq3,BalancedZippelSeparated,2,210.571,32,2,1,0
paper_eq3,CuytLee,2,173.771,31,2,1,0
paper_eq3,BalancedZippel,2,119.670,19,2,1,0
paper_eq3,BalancedZippel,3,122.711,19,2,1,0
paper_eq3,CuytLee,3,176.341,31,2,1,0
paper_eq3,BalancedZippelSeparated,3,160.950,32,2,1,0
paper_eq3,BalancedZippel,4,130.941,19,2,1,0
paper_eq3,BalancedZippelSeparated,4,174.411,32,2,1,0
paper_eq3,CuytLee,4,168.550,31,2,1,0
paper_eq3,BalancedZippelSeparated,5,179.460,32,2,1,0
paper_eq3,BalancedZippel,5,114.351,19,2,1,0
paper_eq3,CuytLee,5,165.930,31,2,1,0
paper_eq3,CuytLee,6,201.420,31,2,1,0
paper_eq3,BalancedZippel,6,122.291,19,2,1,0
paper_eq3,BalancedZippelSeparated,6,169.141,32,2,1,0
paper_eq3,CuytLee,7,175.100,31,2,1,0
paper_eq3,BalancedZippelSeparated,7,178.011,32,2,1,0
paper_eq3,BalancedZippel,7,113.341,19,2,1,0
paper_eq3,BalancedZippelSeparated,8,179.420,32,2,1,0
paper_eq3,CuytLee,8,169.600,31,2,1,0
paper_eq3,BalancedZippel,8,121.511,19,2,1,0
paper_eq3,BalancedZippel,9,121.110,19,2,1,0
paper_eq3,CuytLee,9,171.501,31,2,1,0
paper_eq3,BalancedZippelSeparated,9,196.371,32,2,1,0
paper_eq28_y_d,CuytLee,1,177039.322,4089,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,1,27027.086,912,4,3,0
paper_eq28_y_d,BalancedZippel,1,38884.283,1347,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,2,28156.670,912,4,3,0
paper_eq28_y_d,CuytLee,2,177930.266,4089,4,3,0
paper_eq28_y_d,BalancedZippel,2,41492.683,1347,4,3,0
paper_eq28_y_d,BalancedZippel,3,39282.923,1347,4,3,0
paper_eq28_y_d,CuytLee,3,175775.807,4089,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,3,26240.003,912,4,3,0
paper_eq28_y_d,BalancedZippel,4,38613.951,1347,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,4,28338.941,912,4,3,0
paper_eq28_y_d,CuytLee,4,174314.622,4089,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,5,28783.342,912,4,3,0
paper_eq28_y_d,BalancedZippel,5,38836.212,1347,4,3,0
paper_eq28_y_d,CuytLee,5,174759.334,4089,4,3,0
paper_eq28_y_d,CuytLee,6,176366.590,4089,4,3,0
paper_eq28_y_d,BalancedZippel,6,40316.568,1347,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,6,28988.523,912,4,3,0
paper_eq28_y_d,CuytLee,7,176681.581,4089,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,7,28504.362,912,4,3,0
paper_eq28_y_d,BalancedZippel,7,38747.112,1347,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,8,28428.531,912,4,3,0
paper_eq28_y_d,CuytLee,8,175436.636,4089,4,3,0
paper_eq28_y_d,BalancedZippel,8,38910.342,1347,4,3,0
paper_eq28_y_d,BalancedZippel,9,38295.770,1347,4,3,0
paper_eq28_y_d,CuytLee,9,172112.964,4089,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,9,27848.349,912,4,3,0
