case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,CuytLee,1,59.810,31,2,1,0
paper_eq3,BalancedZippelSeparated,1,61.431,32,2,1,0
paper_eq3,BalancedZippel,1,270.481,19,2,1,0
paper_eq3,BalancedZippelSeparated,2,65.711,32,2,1,0
paper_eq3,CuytLee,2,63.350,31,2,1,0
paper_eq3,BalancedZippel,2,45.670,19,2,1,0
paper_eq3,BalancedZippel,3,44.220,19,2,1,0
paper_eq3,CuytLee,3,55.820,31,2,1,0
paper_eq3,BalancedZippelSeparated,3,60.091,32,2,1,0
paper_eq3,BalancedZippel,4,44.600,19,2,1,0
paper_eq3,BalancedZippelSeparated,4,58.241,32,2,1,0
paper_eq3,CuytLee,4,253.891,31,2,1,0
paper_eq3,BalancedZippelSeparated,5,67.370,32,2,1,0
paper_eq3,BalancedZippel,5,44.520,19,2,1,0
paper_eq3,CuytLee,5,57.351,31,2,1,0
paper_eq3,CuytLee,6,53.660,31,2,1,0
paper_eq3,BalancedZippel,6,44.830,19,2,1,0
paper_eq3,BalancedZippelSeparated,6,58.341,32,2,1,0
paper_eq3,CuytLee,7,54.801,31,2,1,0
paper_eq3,BalancedZippelSeparated,7,60.440,32,2,1,0
paper_eq3,BalancedZippel,7,43.550,19,2,1,0
paper_eq3,BalancedZippelSeparated,8,58.800,32,2,1,0
paper_eq3,CuytLee,8,56.860,31,2,1,0
paper_eq3,BalancedZippel,8,44.770,19,2,1,0
paper_eq3,BalancedZippel,9,44.660,19,2,1,0
paper_eq3,CuytLee,9,56.010,31,2,1,0
paper_eq3,BalancedZippelSeparated,9,59.700,32,2,1,0
paper_eq28_y_d,CuytLee,1,112375.450,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,1,19308.790,921,4,3,0
paper_eq28_y_d,BalancedZippel,1,28182.580,1356,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,2,16207.865,921,4,3,0
paper_eq28_y_d,CuytLee,2,113036.863,4098,4,3,0
paper_eq28_y_d,BalancedZippel,2,27788.269,1356,4,3,0
paper_eq28_y_d,BalancedZippel,3,26637.934,1356,4,3,0
paper_eq28_y_d,CuytLee,3,114668.310,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,3,19363.209,921,4,3,0
paper_eq28_y_d,BalancedZippel,4,27696.088,1356,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,4,16582.896,921,4,3,0
paper_eq28_y_d,CuytLee,4,114140.628,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,5,18560.555,921,4,3,0
paper_eq28_y_d,BalancedZippel,5,26283.702,1356,4,3,0
paper_eq28_y_d,CuytLee,5,111980.447,4098,4,3,0
paper_eq28_y_d,CuytLee,6,119133.301,4098,4,3,0
paper_eq28_y_d,BalancedZippel,6,23666.580,1356,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,6,16938.158,921,4,3,0
paper_eq28_y_d,CuytLee,7,119986.355,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,7,15983.254,921,4,3,0
paper_eq28_y_d,BalancedZippel,7,24393.313,1356,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,8,18447.126,921,4,3,0
paper_eq28_y_d,CuytLee,8,118047.086,4098,4,3,0
paper_eq28_y_d,BalancedZippel,8,23637.179,1356,4,3,0
paper_eq28_y_d,BalancedZippel,9,26534.583,1356,4,3,0
paper_eq28_y_d,CuytLee,9,117982.645,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,9,16033.834,921,4,3,0
