case,method,seed,order,status,setup_ms,elapsed_us,probes,attempts,num_terms,den_terms,degree_race
firefly_f1,BalancedZippelSeparated,1,original,ok,0.576,114725.649,16546,1,20,20,0
firefly_f1,CuytLee,1,original,ok,0.519,215775.975,16508,1,20,20,0
firefly_f1,BalancedZippel,1,original,ok,0.559,52602.736,8464,1,20,20,0
firefly_f2,BalancedZippelSeparated,1,original,ok,0.449,133729.204,4110,1,3,2,0
firefly_f2,CuytLee,1,original,ok,0.685,28817392.711,99745,1,3,2,0
firefly_f2,BalancedZippel,1,original,ok,0.547,72856.725,2060,1,3,2,0
firefly_f3,BalancedZippelSeparated,1,original,time_limit,25.871,30001731.049,16702,0,26333,3,0
firefly_f3,CuytLee,1,original,time_limit,24.738,30001620.341,16980,0,26333,3,0
firefly_f3,BalancedZippel,1,original,time_limit,24.536,30001527.388,16520,0,26333,3,0
firefly_f4,BalancedZippelSeparated,1,original,time_limit,50.429,30000927.075,8075,0,53129,3,0
firefly_f4,CuytLee,1,original,time_limit,51.207,30001180.529,9707,0,53129,3,0
firefly_f4,BalancedZippel,1,original,time_limit,36.091,30001549.884,10078,0,53129,3,0
aajamp,BalancedZippelSeparated,1,original,time_limit,3668.584,30000991.665,15628,0,23260,7231,0
aajamp,CuytLee,1,original,time_limit,3865.531,30000721.598,13812,0,23260,7231,0
aajamp,BalancedZippel,1,original,time_limit,5399.482,30000423.561,11114,0,23260,7231,0
coeff_prop_4l,BalancedZippelSeparated,1,original,ok,82.836,20098522.463,20102,1,6671,6051,0
coeff_prop_4l,CuytLee,1,original,time_limit,90.454,30000294.813,18889,0,6671,6051,0
coeff_prop_4l,BalancedZippel,1,original,ok,62.771,10076401.975,13211,1,6671,6051,0
mixed_sparse5,BalancedZippelSeparated,1,original,ok,0.284,5657.052,1444,1,7,6,0
mixed_sparse5,CuytLee,1,original,ok,0.233,5761.283,1408,1,7,6,0
mixed_sparse5,BalancedZippel,1,original,ok,0.235,3214.312,738,1,7,6,0
separated_dense4,BalancedZippelSeparated,1,original,ok,0.927,53119.878,1184,1,1080,240,0
separated_dense4,CuytLee,1,original,ok,0.664,168122.637,3762,1,1080,240,0
separated_dense4,BalancedZippel,1,original,ok,0.780,90251.173,2017,1,1080,240,0
