case,method,seed,order,status,setup_ms,elapsed_us,probes,attempts,num_terms,den_terms,degree_race
firefly_f1,BalancedZippelSeparated,1,original,ok,0.484,69691.002,16546,1,20,20,0
firefly_f1,BalancedZippel,1,original,ok,0.294,34341.758,8464,1,20,20,0
firefly_f2,BalancedZippelSeparated,1,original,ok,0.208,109665.167,4090,1,3,2,0
firefly_f2,BalancedZippel,1,original,ok,0.219,55102.855,2048,1,3,2,0
coeff_prop_4l,BalancedZippelSeparated,1,original,ok,57.874,13280001.467,19790,1,6671,6051,0
coeff_prop_4l,BalancedZippel,1,original,ok,61.104,9186673.427,12899,1,6671,6051,0
mixed_sparse5,BalancedZippelSeparated,1,original,ok,0.384,6710.661,1439,1,7,6,0
mixed_sparse5,BalancedZippel,1,original,ok,0.504,3554.866,733,1,7,6,0
separated_dense4,BalancedZippelSeparated,1,original,ok,1.268,65655.662,1138,1,1080,240,0
separated_dense4,BalancedZippel,1,original,ok,1.326,75161.796,1341,1,1080,240,0
