case,method,seed,order,status,setup_ms,elapsed_us,probes,attempts,num_terms,den_terms,degree_race
firefly_f1,BalancedZippelSeparated,1,original,ok,0.780,138290.551,16546,1,20,20,1
firefly_f1,CuytLee,1,original,ok,0.759,166484.532,16508,1,20,20,1
firefly_f1,BalancedZippel,1,original,ok,0.800,66630.221,8464,1,20,20,1
firefly_f2,BalancedZippelSeparated,1,original,ok,0.373,136577.514,2920,1,3,2,1
firefly_f2,CuytLee,1,original,ok,0.697,25824536.591,99160,1,3,2,1
firefly_f2,BalancedZippel,1,original,ok,0.400,62742.636,1463,1,3,2,1
firefly_f3,BalancedZippelSeparated,1,original,time_limit,34.205,30001823.929,17045,0,26333,3,1
firefly_f3,CuytLee,1,original,time_limit,47.537,30002405.848,15482,0,26333,3,1
firefly_f3,BalancedZippel,1,original,time_limit,23.962,30001371.953,17745,0,26333,3,1
firefly_f4,BalancedZippelSeparated,1,original,time_limit,42.797,30002880.837,9894,0,53129,3,1
firefly_f4,CuytLee,1,original,time_limit,33.929,30001294.228,10117,0,53129,3,1
firefly_f4,BalancedZippel,1,original,time_limit,32.137,30003022.435,9507,0,53129,3,1
aajamp,BalancedZippelSeparated,1,original,time_limit,5367.018,30002321.970,11492,0,23260,7231,1
aajamp,CuytLee,1,original,time_limit,5463.035,30000933.312,11695,0,23260,7231,1
aajamp,BalancedZippel,1,original,time_limit,5377.431,30000487.109,12200,0,23260,7231,1
coeff_prop_4l,BalancedZippelSeparated,1,original,ok,76.650,18189996.169,19790,1,6671,6051,1
coeff_prop_4l,CuytLee,1,original,time_limit,100.845,30000605.078,17189,0,6671,6051,1
coeff_prop_4l,BalancedZippel,1,original,ok,53.459,10914466.235,12899,1,6671,6051,1
mixed_sparse5,BalancedZippelSeparated,1,original,ok,0.390,10127.220,1289,1,7,6,1
mixed_sparse5,CuytLee,1,original,ok,0.581,12520.649,1333,1,7,6,1
mixed_sparse5,BalancedZippel,1,original,ok,0.396,5311.621,658,1,7,6,1
separated_dense4,BalancedZippelSeparated,1,original,ok,2.665,62838.595,1137,1,1080,240,1
separated_dense4,CuytLee,1,original,ok,1.351,175549.417,3754,1,1080,240,1
separated_dense4,BalancedZippel,1,original,ok,1.605,67198.953,1340,1,1080,240,1
