case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001_shear_d,FireFly_scan,1,ok,8891395.514,29895,3,,,,9223372036854775549:1;9223372036854775643:13854;9223372036854775783:16040,FireFly_default,cached_powers_Q,5148,2070,,
fire7_nb0_rank0001_shear_d,FireFly_scan,2,ok,8728045.517,29895,3,,,,9223372036854775549:1;9223372036854775643:13854;9223372036854775783:16040,FireFly_default,cached_powers_Q,5148,2070,,
fire7_nb0_rank0001_shear_d,FireFly_scan,3,ok,8746695.398,29895,3,,,,9223372036854775549:1;9223372036854775643:13854;9223372036854775783:16040,FireFly_default,cached_powers_Q,5148,2070,,
fire7_nb0_rank0002_shear_d,FireFly_scan,1,ok,8878590.611,30437,3,,,,9223372036854775549:1;9223372036854775643:13979;9223372036854775783:16457,FireFly_default,cached_powers_Q,5247,2070,,
fire7_nb0_rank0002_shear_d,FireFly_scan,2,ok,9110878.408,30437,3,,,,9223372036854775549:1;9223372036854775643:13979;9223372036854775783:16457,FireFly_default,cached_powers_Q,5247,2070,,
fire7_nb0_rank0002_shear_d,FireFly_scan,3,ok,9924938.392,30437,3,,,,9223372036854775549:1;9223372036854775643:13979;9223372036854775783:16457,FireFly_default,cached_powers_Q,5247,2070,,
fire7_nb0_rank0003_shear_d,FireFly_scan,1,ok,6759505.342,25192,3,,,,9223372036854775549:1;9223372036854775643:10493;9223372036854775783:14698,FireFly_default,cached_powers_Q,4488,1215,,
fire7_nb0_rank0003_shear_d,FireFly_scan,2,ok,6755625.509,25192,3,,,,9223372036854775549:1;9223372036854775643:10493;9223372036854775783:14698,FireFly_default,cached_powers_Q,4488,1215,,
fire7_nb0_rank0003_shear_d,FireFly_scan,3,ok,6719539.500,25192,3,,,,9223372036854775549:1;9223372036854775643:10493;9223372036854775783:14698,FireFly_default,cached_powers_Q,4488,1215,,
fire7_nb0_rank0004_shear_d,FireFly_scan,1,ok,5982732.353,23478,3,,,,9223372036854775549:1;9223372036854775643:10300;9223372036854775783:13177,FireFly_default,cached_powers_Q,4312,1215,,
fire7_nb0_rank0004_shear_d,FireFly_scan,2,ok,6021853.219,23478,3,,,,9223372036854775549:1;9223372036854775643:10300;9223372036854775783:13177,FireFly_default,cached_powers_Q,4312,1215,,
fire7_nb0_rank0004_shear_d,FireFly_scan,3,ok,6154052.387,23478,3,,,,9223372036854775549:1;9223372036854775643:10300;9223372036854775783:13177,FireFly_default,cached_powers_Q,4312,1215,,
