case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001_shear_d,FireFly_default,1,ok,18502418.826,40327,3,,,,9223372036854775549:1;9223372036854775643:18161;9223372036854775783:22165,FireFly_default,cached_powers_Q,5148,2070,,
fire7_nb0_rank0001_shear_d,FireFly_scan,1,ok,8739476.118,29895,3,,,,9223372036854775549:1;9223372036854775643:13854;9223372036854775783:16040,FireFly_default,cached_powers_Q,5148,2070,,
fire7_nb0_rank0001_shear_d,FIRE7_Q_learned,1,ok,4746544.449,45109,3,2,,,18446744073709551521:3;18446744073709551533:22527;18446744073709551557:22579,FIRE7_native_64,cached_powers_Q,5148,2070,,
fire7_nb0_rank0001_shear_d,Rare_scaling,1,ok,30300226.591,57888,2,,,,1152921504606846883:57886;1152921504606846869:2,Rare_native_60,cached_powers_Q,5148,2070,,
fire7_nb0_rank0001_shear_d,Automatic,1,ok,1352659.105,15297,2,1,0,0,2305843009213693967:15294;2305843009213693973:3,Symbolica_default,cached_powers_Q,5148,2070,41.909,CuytLeePruned
fire7_nb0_rank0002_shear_d,FireFly_default,1,ok,20755072.072,41106,3,,,,9223372036854775549:1;9223372036854775643:18339;9223372036854775783:22766,FireFly_default,cached_powers_Q,5247,2070,,
fire7_nb0_rank0002_shear_d,FireFly_scan,1,ok,8862635.991,30437,3,,,,9223372036854775549:1;9223372036854775643:13979;9223372036854775783:16457,FireFly_default,cached_powers_Q,5247,2070,,
fire7_nb0_rank0002_shear_d,FIRE7_Q_learned,1,ok,5036578.295,47200,3,2,,,18446744073709551521:3;18446744073709551533:23572;18446744073709551557:23625,FIRE7_native_64,cached_powers_Q,5247,2070,,
fire7_nb0_rank0002_shear_d,Rare_scaling,1,ok,31504707.639,58995,2,,,,1152921504606846883:58993;1152921504606846869:2,Rare_native_60,cached_powers_Q,5247,2070,,
fire7_nb0_rank0002_shear_d,Automatic,1,ok,1524228.919,16138,2,1,0,0,2305843009213693967:16135;2305843009213693973:3,Symbolica_default,cached_powers_Q,5247,2070,106.829,CuytLeePruned
fire7_nb0_rank0003_shear_d,FireFly_default,1,ok,11918945.913,30685,3,,,,9223372036854775549:1;9223372036854775643:13254;9223372036854775783:17430,FireFly_default,cached_powers_Q,4488,1215,,
fire7_nb0_rank0003_shear_d,FireFly_scan,1,ok,6367901.887,25192,3,,,,9223372036854775549:1;9223372036854775643:10493;9223372036854775783:14698,FireFly_default,cached_powers_Q,4488,1215,,
fire7_nb0_rank0003_shear_d,FIRE7_Q_learned,1,ok,3636804.698,39787,3,2,,,18446744073709551521:3;18446744073709551533:19862;18446744073709551557:19922,FIRE7_native_64,cached_powers_Q,4488,1215,,
fire7_nb0_rank0003_shear_d,Rare_scaling,1,ok,24409823.146,49486,2,,,,1152921504606846883:49484;1152921504606846869:2,Rare_native_60,cached_powers_Q,4488,1215,,
fire7_nb0_rank0003_shear_d,Automatic,1,ok,1074603.961,12535,2,1,0,0,2305843009213693967:12532;2305843009213693973:3,Symbolica_default,cached_powers_Q,4488,1215,39.788,CuytLeePruned
fire7_nb0_rank0004_shear_d,FireFly_default,1,ok,14076382.344,29546,3,,,,9223372036854775549:1;9223372036854775643:12985;9223372036854775783:16560,FireFly_default,cached_powers_Q,4312,1215,,
fire7_nb0_rank0004_shear_d,FireFly_scan,1,ok,6052809.751,23478,3,,,,9223372036854775549:1;9223372036854775643:10300;9223372036854775783:13177,FireFly_default,cached_powers_Q,4312,1215,,
fire7_nb0_rank0004_shear_d,FIRE7_Q_learned,1,ok,3747805.171,37276,3,2,,,18446744073709551521:3;18446744073709551533:18615;18446744073709551557:18658,FIRE7_native_64,cached_powers_Q,4312,1215,,
fire7_nb0_rank0004_shear_d,Rare_scaling,1,ok,21528326.071,45527,2,,,,1152921504606846883:45525;1152921504606846869:2,Rare_native_60,cached_powers_Q,4312,1215,,
fire7_nb0_rank0004_shear_d,Automatic,1,ok,960294.197,11671,2,1,0,0,2305843009213693967:11668;2305843009213693973:3,Symbolica_default,cached_powers_Q,4312,1215,31.717,CuytLeePruned
