case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,290.991,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.641,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,1,ok,452.992,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.738,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,1,ok,470.241,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.447,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,1,ok,333.572,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.588,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,1,ok,317.531,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.714,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,1,ok,428.402,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.470,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,1,ok,569.262,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.536,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,1,ok,428.962,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.417,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,1,ok,257.521,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.601,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,1,ok,269.251,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.493,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,1,ok,233.490,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.476,BalancedZippelSeparated
fire7_graph5_rank0012,Automatic,1,ok,517.872,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.448,BalancedZippelSeparated
fire7_graph5_rank0013,Automatic,1,ok,230.631,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.380,BalancedZippelSeparated
fire7_graph5_rank0014,Automatic,1,ok,259.471,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.543,BalancedZippelSeparated
fire7_graph5_rank0015,Automatic,1,ok,504.682,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.511,BalancedZippelSeparated
fire7_graph5_rank0016,Automatic,1,ok,252.941,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.388,BalancedZippelSeparated
fire7_graph5_rank0017,Automatic,1,ok,309.801,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.707,BalancedZippelSeparated
fire7_graph5_rank0018,Automatic,1,ok,245.692,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.568,BalancedZippelSeparated
fire7_graph5_rank0019,Automatic,1,ok,233.401,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.374,BalancedZippelSeparated
fire7_graph5_rank0020,Automatic,1,ok,277.341,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,12,0.495,BalancedZippelSeparated
fire7_graph5_rank0021,Automatic,1,ok,417.641,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.375,BalancedZippelSeparated
fire7_graph5_rank0022,Automatic,1,ok,245.791,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.622,BalancedZippelSeparated
fire7_graph5_rank0023,Automatic,1,ok,233.661,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.385,BalancedZippelSeparated
fire7_graph5_rank0024,Automatic,1,ok,237.810,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.359,BalancedZippelSeparated
fire7_graph5_rank0025,Automatic,1,ok,405.262,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.330,BalancedZippelSeparated
fire7_graph5_rank0026,Automatic,1,ok,268.321,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.376,BalancedZippelSeparated
fire7_graph5_rank0027,Automatic,1,ok,378.442,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.359,BalancedZippelSeparated
fire7_graph5_rank0028,Automatic,1,ok,319.961,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.603,BalancedZippelSeparated
fire7_graph5_rank0029,Automatic,1,ok,241.621,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.489,BalancedZippelSeparated
fire7_graph5_rank0030,Automatic,1,ok,479.072,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,8,0.343,BalancedZippelSeparated
fire7_graph5_rank0031,Automatic,1,ok,313.482,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.460,BalancedZippelSeparated
fire7_graph5_rank0032,Automatic,1,ok,287.691,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,12,0.676,BalancedZippelSeparated
fire7_graph5_rank0033,Automatic,1,ok,258.571,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.547,BalancedZippelSeparated
fire7_graph5_rank0034,Automatic,1,ok,233.561,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,12,0.371,BalancedZippelSeparated
fire7_graph5_rank0035,Automatic,1,ok,523.872,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,10,0.450,BalancedZippelSeparated
fire7_graph5_rank0036,Automatic,1,ok,257.951,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.556,BalancedZippelSeparated
fire7_graph5_rank0037,Automatic,1,ok,260.811,27,2,1,0,0,2305843009213693967:24;2305843009213693973:3,Symbolica_default,cached_powers_Q,6,12,0.418,BalancedZippelSeparated
fire7_graph5_rank0038,Automatic,1,ok,275.171,30,2,1,0,0,2305843009213693967:27;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,10,0.573,BalancedZippelSeparated
fire7_graph5_rank0039,Automatic,1,ok,257.531,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,10,0.589,BalancedZippelSeparated
fire7_graph5_rank0040,Automatic,1,ok,274.271,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,8,0.402,BalancedZippelSeparated
fire7_graph5_rank0041,Automatic,1,ok,190.791,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,8,0.323,BalancedZippelSeparated
fire7_graph5_rank0042,Automatic,1,ok,199.161,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.302,BalancedZippelSeparated
