case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,40140.575,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.713,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,37550.943,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,4.884,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,29469.910,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,4.242,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,20298.023,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,5.217,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,22262.761,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,3.913,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,20347.274,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,58.123,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,17982.913,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,3.446,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,22174.771,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,4.605,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,16971.350,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,4.549,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,18413.415,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,3.095,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,49444.292,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,23.541,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,14857.531,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,4.195,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,17371.811,1108,2,1,0,0,2305843009213693967:1105;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,4.052,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,12422.981,963,2,1,0,0,2305843009213693967:960;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,2.947,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,13214.895,978,2,1,0,0,2305843009213693967:975;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,3.028,BalancedZippelSeparated
fire7_nb0_rank0016,Automatic,1,ok,15333.643,1102,2,1,0,0,2305843009213693967:1099;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,2.870,BalancedZippelSeparated
fire7_nb0_rank0017,Automatic,1,ok,18200.245,1141,2,1,0,0,2305843009213693967:1138;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,189,4.201,BalancedZippelSeparated
fire7_nb0_rank0018,Automatic,1,ok,15584.624,1210,2,1,0,0,2305843009213693967:1207;2305843009213693973:3,Symbolica_default,cached_powers_Q,566,189,3.112,BalancedZippelSeparated
fire7_nb0_rank0019,Automatic,1,ok,13751.016,1089,2,1,0,0,2305843009213693967:1086;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,168,2.879,BalancedZippelSeparated
fire7_nb0_rank0020,Automatic,1,ok,11546.447,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,539,189,3.561,BalancedZippelSeparated
fire7_nb0_rank0021,Automatic,1,ok,15802.794,1027,2,1,0,0,2305843009213693967:1024;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,312,3.801,BalancedZippelSeparated
fire7_nb0_rank0022,Automatic,1,ok,15107.632,1066,2,1,0,0,2305843009213693967:1063;2305843009213693973:3,Symbolica_default,cached_powers_Q,550,168,3.933,BalancedZippelSeparated
fire7_nb0_rank0023,Automatic,1,ok,11573.107,945,2,1,0,0,2305843009213693967:942;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,240,2.911,BalancedZippelSeparated
fire7_nb0_rank0024,Automatic,1,ok,41245.629,985,2,1,0,0,2305843009213693967:982;2305843009213693973:3,Symbolica_default,cached_powers_Q,497,240,31.358,BalancedZippelSeparated
fire7_nb0_rank0025,Automatic,1,ok,41868.411,807,2,1,0,0,2305843009213693967:804;2305843009213693973:3,Symbolica_default,cached_powers_Q,395,328,21.904,BalancedZippelSeparated
fire7_nb0_rank0026,Automatic,1,ok,15381.632,1029,2,1,0,0,2305843009213693967:1026;2305843009213693973:3,Symbolica_default,cached_powers_Q,532,168,3.762,BalancedZippelSeparated
fire7_nb0_rank0027,Automatic,1,ok,9712.590,825,2,1,0,0,2305843009213693967:822;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,232,2.865,BalancedZippelSeparated
fire7_nb0_rank0028,Automatic,1,ok,9964.041,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,147,2.396,BalancedZippelSeparated
fire7_nb0_rank0029,Automatic,1,ok,8102.073,764,2,1,0,0,2305843009213693967:761;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,162,2.376,BalancedZippelSeparated
fire7_nb0_rank0030,Automatic,1,ok,11229.776,1017,2,1,0,0,2305843009213693967:1014;2305843009213693973:3,Symbolica_default,cached_powers_Q,504,126,2.519,BalancedZippelSeparated
fire7_nb0_rank0031,Automatic,1,ok,38442.498,1000,2,1,0,0,2305843009213693967:997;2305843009213693973:3,Symbolica_default,cached_powers_Q,471,147,31.011,BalancedZippelSeparated
fire7_nb0_rank0032,Automatic,1,ok,8792.906,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,449,153,2.451,BalancedZippelSeparated
fire7_nb0_rank0033,Automatic,1,ok,8034.863,760,2,1,0,0,2305843009213693967:757;2305843009213693973:3,Symbolica_default,cached_powers_Q,404,192,2.384,BalancedZippelSeparated
fire7_nb0_rank0034,Automatic,1,ok,12610.271,900,2,1,0,0,2305843009213693967:897;2305843009213693973:3,Symbolica_default,cached_powers_Q,458,144,3.313,BalancedZippelSeparated
fire7_nb0_rank0035,Automatic,1,ok,11429.467,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,445,154,3.393,BalancedZippelSeparated
fire7_nb0_rank0036,Automatic,1,ok,9368.038,867,2,1,0,0,2305843009213693967:864;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,168,2.464,BalancedZippelSeparated
fire7_nb0_rank0037,Automatic,1,ok,8622.666,798,2,1,0,0,2305843009213693967:795;2305843009213693973:3,Symbolica_default,cached_powers_Q,405,168,2.445,BalancedZippelSeparated
fire7_nb0_rank0038,Automatic,1,ok,10721.814,1004,2,1,0,0,2305843009213693967:1001;2305843009213693973:3,Symbolica_default,cached_powers_Q,466,119,3.684,BalancedZippelSeparated
fire7_nb0_rank0039,Automatic,1,ok,7167.630,740,2,1,0,0,2305843009213693967:737;2305843009213693973:3,Symbolica_default,cached_powers_Q,308,240,2.293,BalancedZippelSeparated
fire7_nb0_rank0040,Automatic,1,ok,8664.186,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,443,119,2.350,BalancedZippelSeparated
fire7_nb0_rank0041,Automatic,1,ok,6274.295,620,2,1,0,0,2305843009213693967:617;2305843009213693973:3,Symbolica_default,cached_powers_Q,362,176,2.236,BalancedZippelSeparated
